scenario,gen_load_zone,Battery_Storage,Bio_Gas_Combustion_Turbine,Bio_Gas_Combustion_Turbine_Cogen,Bio_Gas_Internal_Combustion_Engine,Bio_Gas_Internal_Combustion_Engine_Cogen,Bio_Gas_Steam_Turbine,Bio_Liquid_Steam_Turbine_Cogen,Bio_Solid_Steam_Turbine,Bio_Solid_Steam_Turbine_Cogen,Bio_post_ccs,CCGT,CCGT_Cogen,Central_PV,Coal_IGCC,Coal_Steam_Turbine,Coal_Steam_Turbine_Cogen,Commercial_PV,DistillateFuelOil_Internal_Combustion_Engine,DistillateFuelOil_Internal_Combustion_Engine_Cogen,Gas_Combustion_Turbine,Gas_Combustion_Turbine_Cogen,Gas_Internal_Combustion_Engine,Gas_Internal_Combustion_Engine_Cogen,Gas_Steam_Turbine,Gas_Steam_Turbine_Cogen,Geothermal,IGCC_pre_ccs_90,NGCC_post_ccs_95,Nuclear,Residential_PV,Wind
Bussiness as Usual,AZ_APS_E,6.8545,0.0,0.0,0.0,0.0,0.0,0.0,0.53737,0.0,0.0,443.1,0.0,608.7105,0.37909,2.806,0.0,15.7459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22136,1.3291,0.0,6.4145199999999996,240.871
Bussiness as Usual,AZ_APS_N,6.8083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.05,0.0,1336.3929,0.37703,0.0,0.0,2.5427999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20805,1.3539,0.0,1.55464,181.4931
Bussiness as Usual,AZ_APS_SW,7.1937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.0060000000003,0.0,19523.4873,0.40432,0.0,0.0,10.3971,0.0,0.0,120.42,0.0,0.0,0.0,0.0,0.0,0.0,0.23341,1.4305,0.46729,8.09765,13.0678
Bussiness as Usual,AZ_NM_N,6.7627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.461,0.0,649.4021,0.0,0.0,0.0,2.5484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1915,0.0,3.7339,170.3967
Bussiness as Usual,AZ_NW,6.9949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.5419999999999,0.0,3016.7299000000003,0.0,0.0,0.0,5.4138,0.0,0.0,120.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0859,0.0,0.67082,72.0891
Bussiness as Usual,AZ_PHX,7.2926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19233.894,9.1469,3665.458,0.3964,0.0,0.0,6.661099999999999,0.0,0.0,518.73,7.745,0.0,0.0,0.0,0.0,0.0,0.20779,1.181,0.0,0.6998,23.5782
Bussiness as Usual,AZ_SE,7.1473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6496.369,14.4184,1140.2155,0.39847,0.0,0.0,0.0,0.0,0.0,1629.476,0.0,0.80042,1.1655,0.0,0.0,0.0,0.20575,1.15,0.0,0.0,746.3555
Bussiness as Usual,CAN_ALB,2180.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12811.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11484,32604.968
Bussiness as Usual,CAN_BC,2.7815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2390.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.738,0.0,0.0,0.0,0.0,6520.2488
Bussiness as Usual,CA_IID,6.7744,0.0,0.0,0.0,0.0,0.0,0.0,1.17055,0.0,0.0,2201.6380000000004,0.0,6156.7934000000005,0.0,0.0,0.0,2.7856,0.0,0.0,120.28,0.0,0.0,0.0,0.0,0.0,2615.785,0.0,1.3859,0.0,2.34865,8.93212
Bussiness as Usual,CA_LADWP,7.2065,0.0,0.0,1.1909,0.0,0.0,0.0,0.0,0.0,0.0,170.802,19.2548,0.0,0.0,0.0,0.0,12.6375,0.0,0.0,574.865,42.3302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19563,0.0
