LOAD_AREA,tech1,tech2,site_count,potential_MW
CA_SMUD,coal_igcc,coal_igcc_ccs,0.0,0.0
CA_SMUD,gas_cc,gas_cc_ccs,45.0,42457.0
CA_SDGE,coal_igcc,coal_igcc_ccs,0.0,0.0
CA_SDGE,gas_cc,gas_cc_ccs,18.0,16983.0
CA_IID,coal_igcc,coal_igcc_ccs,0.0,0.0
CA_IID,gas_cc,gas_cc_ccs,40.0,37740.0
CA_LADWP,coal_igcc,coal_igcc_ccs,0.0,0.0
CA_LADWP,gas_cc,gas_cc_ccs,0.0,0.0
NV_S,coal_igcc,coal_igcc_ccs,0.0,0.0
NV_S,gas_cc,gas_cc_ccs,206.0,194361.0
ID_E,coal_igcc,coal_igcc_ccs,71.0,50246.0
ID_E,gas_cc,gas_cc_ccs,2492.0,2351202.0
MT_NW,coal_igcc,coal_igcc_ccs,45.0,31846.0
MT_NW,gas_cc,gas_cc_ccs,819.0,772726.0
MT_SW,coal_igcc,coal_igcc_ccs,171.0,121016.0
MT_SW,gas_cc,gas_cc_ccs,6462.0,6096897.0
OR_WA_BPA,coal_igcc,coal_igcc_ccs,308.0,217971.0
OR_WA_BPA,gas_cc,gas_cc_ccs,12906.0,12176811.0
ID_S_OR_E,coal_igcc,coal_igcc_ccs,357.0,252648.0
ID_S_OR_E,gas_cc,gas_cc_ccs,8574.0,8089569.0
OR_PDX,coal_igcc,coal_igcc_ccs,0.0,0.0
OR_PDX,gas_cc,gas_cc_ccs,1248.0,1177488.0
OR_W,coal_igcc,coal_igcc_ccs,195.0,138001.0
OR_W,gas_cc,gas_cc_ccs,4290.0,4047615.0
OR_E,coal_igcc,coal_igcc_ccs,350.0,247695.0
OR_E,gas_cc,gas_cc_ccs,10192.0,9616152.0
WA_W,coal_igcc,coal_igcc_ccs,123.0,87047.0
WA_W,gas_cc,gas_cc_ccs,6311.0,5954428.0
WY_SW,coal_igcc,coal_igcc_ccs,280.0,198156.0
WY_SW,gas_cc,gas_cc_ccs,7269.0,6858301.0
WY_NW,coal_igcc,coal_igcc_ccs,207.0,146493.0
WY_NW,gas_cc,gas_cc_ccs,6982.0,6587517.0
WY_NE,coal_igcc,coal_igcc_ccs,447.0,316341.0
WY_NE,gas_cc,gas_cc_ccs,5758.0,5432673.0
CA_SCE_S,coal_igcc,coal_igcc_ccs,0.0,0.0
CA_SCE_S,gas_cc,gas_cc_ccs,0.0,0.0
AZ_NW,coal_igcc,coal_igcc_ccs,0.0,0.0
AZ_NW,gas_cc,gas_cc_ccs,874.0,824619.0
AZ_SE,coal_igcc,coal_igcc_ccs,90.0,63693.0
AZ_SE,gas_cc,gas_cc_ccs,2123.0,2003050.0
AZ_PHX,coal_igcc,coal_igcc_ccs,6.0,4246.0
AZ_PHX,gas_cc,gas_cc_ccs,1314.0,1239759.0
AZ_NM_N,coal_igcc,coal_igcc_ccs,0.0,0.0
AZ_NM_N,gas_cc,gas_cc_ccs,505.0,476467.0
UT_S,coal_igcc,coal_igcc_ccs,240.0,169848.0
UT_S,gas_cc,gas_cc_ccs,2956.0,2788986.0
WA_SEATAC,coal_igcc,coal_igcc_ccs,0.0,0.0
WA_SEATAC,gas_cc,gas_cc_ccs,0.0,0.0
NM_N,coal_igcc,coal_igcc_ccs,27.0,19107.0
NM_N,gas_cc,gas_cc_ccs,7131.0,6728098.0
CA_PGE_CEN,coal_igcc,coal_igcc_ccs,49.0,34677.0
CA_PGE_CEN,gas_cc,gas_cc_ccs,7109.0,6707341.0
CA_PGE_BAY,coal_igcc,coal_igcc_ccs,0.0,0.0
CA_PGE_BAY,gas_cc,gas_cc_ccs,4.0,3774.0
CA_PGE_S,coal_igcc,coal_igcc_ccs,0.0,0.0
CA_PGE_S,gas_cc,gas_cc_ccs,2237.0,2110609.0
NV_N,coal_igcc,coal_igcc_ccs,261.0,184709.0
NV_N,gas_cc,gas_cc_ccs,4894.0,4617489.0
CO_NW,coal_igcc,coal_igcc_ccs,273.0,193202.0
CO_NW,gas_cc,gas_cc_ccs,6186.0,5836491.0
UT_N,coal_igcc,coal_igcc_ccs,0.0,0.0
UT_N,gas_cc,gas_cc_ccs,1506.0,1420911.0
MT_NE,coal_igcc,coal_igcc_ccs,1232.0,871886.0
MT_NE,gas_cc,gas_cc_ccs,28699.0,27077506.0
MT_SE,coal_igcc,coal_igcc_ccs,383.0,271049.0
MT_SE,gas_cc,gas_cc_ccs,14712.0,13880772.0
CA_PGE_N,coal_igcc,coal_igcc_ccs,384.0,271756.0
CA_PGE_N,gas_cc,gas_cc_ccs,11853.0,11183305.0
CA_SCE_SE,coal_igcc,coal_igcc_ccs,17.0,12030.0
CA_SCE_SE,gas_cc,gas_cc_ccs,240.0,226440.0
CA_SCE_VLY,coal_igcc,coal_igcc_ccs,0.0,0.0
CA_SCE_VLY,gas_cc,gas_cc_ccs,730.0,688755.0
CA_SCE_CEN,coal_igcc,coal_igcc_ccs,0.0,0.0
CA_SCE_CEN,gas_cc,gas_cc_ccs,319.0,300976.0
AZ_APS_SW,coal_igcc,coal_igcc_ccs,168.0,118893.0
AZ_APS_SW,gas_cc,gas_cc_ccs,1746.0,1647351.0
NM_S_TX_EPE,coal_igcc,coal_igcc_ccs,101.0,71477.0
NM_S_TX_EPE,gas_cc,gas_cc_ccs,4432.0,4181592.0
CO_E,coal_igcc,coal_igcc_ccs,807.0,571113.0
CO_E,gas_cc,gas_cc_ccs,13526.0,12761781.0
CO_SW,coal_igcc,coal_igcc_ccs,108.0,76431.0
CO_SW,gas_cc,gas_cc_ccs,4625.0,4363687.0
AZ_APS_N,coal_igcc,coal_igcc_ccs,2.0,1415.0
AZ_APS_N,gas_cc,gas_cc_ccs,2084.0,1966254.0
AZ_APS_E,coal_igcc,coal_igcc_ccs,58.0,41046.0
AZ_APS_E,gas_cc,gas_cc_ccs,2044.0,1928514.0
WY_SE,coal_igcc,coal_igcc_ccs,603.0,426743.0
WY_SE,gas_cc,gas_cc_ccs,17616.0,16620696.0
CO_DEN,coal_igcc,coal_igcc_ccs,0.0,0.0
CO_DEN,gas_cc,gas_cc_ccs,2216.0,2090796.0
WA_ID_AVA,coal_igcc,coal_igcc_ccs,441.0,312095.0
WA_ID_AVA,gas_cc,gas_cc_ccs,7849.0,7405531.0
WA_N_CEN,coal_igcc,coal_igcc_ccs,145.0,102616.0
WA_N_CEN,gas_cc,gas_cc_ccs,1758.0,1658673.0
