LOAD_AREA,prod_tech1,prod_tech2,site_count,potential_MW
CA_SMUD,coal_cc,coal_cc_ccs,0.0,0.0
CA_SMUD,gas_cc,gas_cc_ccs,46.0,43401.0
CA_SDGE,coal_cc,coal_cc_ccs,0.0,0.0
CA_SDGE,gas_cc,gas_cc_ccs,18.0,16983.0
CA_IID,coal_cc,coal_cc_ccs,0.0,0.0
CA_IID,gas_cc,gas_cc_ccs,66.0,62271.0
CA_LADWP,coal_cc,coal_cc_ccs,0.0,0.0
CA_LADWP,gas_cc,gas_cc_ccs,0.0,0.0
NV_S,coal_cc,coal_cc_ccs,0.0,0.0
NV_S,gas_cc,gas_cc_ccs,268.0,252858.0
ID_E,coal_cc,coal_cc_ccs,93.0,65816.0
ID_E,gas_cc,gas_cc_ccs,2560.0,2415360.0
MT_NW,coal_cc,coal_cc_ccs,45.0,31846.0
MT_NW,gas_cc,gas_cc_ccs,828.0,781218.0
MT_SW,coal_cc,coal_cc_ccs,233.0,164894.0
MT_SW,gas_cc,gas_cc_ccs,6779.0,6395986.0
OR_WA_BPA,coal_cc,coal_cc_ccs,362.0,256187.0
OR_WA_BPA,gas_cc,gas_cc_ccs,13577.0,12809899.0
ID_S_OR_E,coal_cc,coal_cc_ccs,385.0,272464.0
ID_S_OR_E,gas_cc,gas_cc_ccs,8768.0,8272608.0
OR_PDX,coal_cc,coal_cc_ccs,0.0,0.0
OR_PDX,gas_cc,gas_cc_ccs,1249.0,1178431.0
OR_W,coal_cc,coal_cc_ccs,196.0,138709.0
OR_W,gas_cc,gas_cc_ccs,4320.0,4075920.0
OR_E,coal_cc,coal_cc_ccs,392.0,277418.0
OR_E,gas_cc,gas_cc_ccs,10253.0,9673705.0
WA_W,coal_cc,coal_cc_ccs,123.0,87047.0
WA_W,gas_cc,gas_cc_ccs,6319.0,5961976.0
WY_SW,coal_cc,coal_cc_ccs,501.0,354557.0
WY_SW,gas_cc,gas_cc_ccs,8990.0,8482065.0
WY_NW,coal_cc,coal_cc_ccs,311.0,220094.0
WY_NW,gas_cc,gas_cc_ccs,7661.0,7228153.0
WY_NE,coal_cc,coal_cc_ccs,587.0,415419.0
