LOAD_AREA,tech1,tech2,tech3,site_count,potential_MW
CA_SMUD,bio_smr,bio_smr_ccs,bio_atr_ccs,44.0,9182.0
CA_SMUD,coal_gas,coal_gas_ccs,,6.0,1711.0
CA_SMUD,gas_smr,gas_smr_ccs,gas_atr_ccs,7.0,1460.0
CA_SMUD,biomass_gas,,,0.0,0.0
CA_SDGE,bio_smr,bio_smr_ccs,bio_atr_ccs,135.0,28172.0
CA_SDGE,coal_gas,coal_gas_ccs,,9.0,2566.0
CA_SDGE,gas_smr,gas_smr_ccs,gas_atr_ccs,3.0,626.0
CA_SDGE,biomass_gas,,,0.0,0.0
CA_IID,bio_smr,bio_smr_ccs,bio_atr_ccs,860.0,179471.0
CA_IID,coal_gas,coal_gas_ccs,,487.0,138895.0
CA_IID,gas_smr,gas_smr_ccs,gas_atr_ccs,315.0,65736.0
CA_IID,biomass_gas,,,109.0,7279.0
CA_LADWP,bio_smr,bio_smr_ccs,bio_atr_ccs,0.0,0.0
CA_LADWP,coal_gas,coal_gas_ccs,,0.0,0.0
CA_LADWP,gas_smr,gas_smr_ccs,gas_atr_ccs,0.0,0.0
CA_LADWP,biomass_gas,,,0.0,0.0
NV_S,bio_smr,bio_smr_ccs,bio_atr_ccs,321.0,66988.0
NV_S,coal_gas,coal_gas_ccs,,382.0,108948.0
NV_S,gas_smr,gas_smr_ccs,gas_atr_ccs,963.0,200966.0
NV_S,biomass_gas,,,0.0,0.0
ID_E,bio_smr,bio_smr_ccs,bio_atr_ccs,148.0,30885.0
ID_E,coal_gas,coal_gas_ccs,,140.0,39928.0
ID_E,gas_smr,gas_smr_ccs,gas_atr_ccs,494.0,103091.0
ID_E,biomass_gas,,,19.0,1268.0
MT_NW,bio_smr,bio_smr_ccs,bio_atr_ccs,92.0,19199.0
MT_NW,coal_gas,coal_gas_ccs,,1.0,285.0
MT_NW,gas_smr,gas_smr_ccs,gas_atr_ccs,55.0,11477.0
MT_NW,biomass_gas,,,6.0,400.0
MT_SW,bio_smr,bio_smr_ccs,bio_atr_ccs,1103.0,230182.0
MT_SW,coal_gas,coal_gas_ccs,,288.0,82139.0
MT_SW,gas_smr,gas_smr_ccs,gas_atr_ccs,1309.0,273171.0
MT_SW,biomass_gas,,,0.0,0.0
OR_WA_BPA,bio_smr,bio_smr_ccs,bio_atr_ccs,520.0,108517.0
OR_WA_BPA,coal_gas,coal_gas_ccs,,518.0,147736.0
OR_WA_BPA,gas_smr,gas_smr_ccs,gas_atr_ccs,2140.0,446591.0
OR_WA_BPA,biomass_gas,,,0.0,0.0
ID_S_OR_E,bio_smr,bio_smr_ccs,bio_atr_ccs,450.0,93909.0
ID_S_OR_E,coal_gas,coal_gas_ccs,,871.0,248414.0
ID_S_OR_E,gas_smr,gas_smr_ccs,gas_atr_ccs,4170.0,870226.0
ID_S_OR_E,biomass_gas,,,261.0,17429.0
OR_PDX,bio_smr,bio_smr_ccs,bio_atr_ccs,1.0,208.0
OR_PDX,coal_gas,coal_gas_ccs,,0.0,0.0
OR_PDX,gas_smr,gas_smr_ccs,gas_atr_ccs,0.0,0.0
OR_PDX,biomass_gas,,,0.0,0.0
OR_W,bio_smr,bio_smr_ccs,bio_atr_ccs,18.0,3756.0
OR_W,coal_gas,coal_gas_ccs,,2.0,570.0
OR_W,gas_smr,gas_smr_ccs,gas_atr_ccs,36.0,7512.0
OR_W,biomass_gas,,,52.0,3472.0
OR_E,bio_smr,bio_smr_ccs,bio_atr_ccs,617.0,128760.0
OR_E,coal_gas,coal_gas_ccs,,461.0,131480.0
OR_E,gas_smr,gas_smr_ccs,gas_atr_ccs,2316.0,483320.0
OR_E,biomass_gas,,,177.0,11820.0
WA_W,bio_smr,bio_smr_ccs,bio_atr_ccs,7.0,1460.0
WA_W,coal_gas,coal_gas_ccs,,0.0,0.0
WA_W,gas_smr,gas_smr_ccs,gas_atr_ccs,9.0,1878.0
WA_W,biomass_gas,,,2.0,133.0
WY_SW,bio_smr,bio_smr_ccs,bio_atr_ccs,1219.0,254390.0
WY_SW,coal_gas,coal_gas_ccs,,3435.0,979683.0
WY_SW,gas_smr,gas_smr_ccs,gas_atr_ccs,23208.0,4843219.0
WY_SW,biomass_gas,,,0.0,0.0
WY_NW,bio_smr,bio_smr_ccs,bio_atr_ccs,1208.0,252094.0
WY_NW,coal_gas,coal_gas_ccs,,597.0,170268.0
WY_NW,gas_smr,gas_smr_ccs,gas_atr_ccs,7744.0,1616076.0
WY_NW,biomass_gas,,,0.0,0.0
WY_NE,bio_smr,bio_smr_ccs,bio_atr_ccs,9664.0,2016756.0
WY_NE,coal_gas,coal_gas_ccs,,2621.0,747525.0
WY_NE,gas_smr,gas_smr_ccs,gas_atr_ccs,12902.0,2692486.0
WY_NE,biomass_gas,,,0.0,0.0
CA_SCE_S,bio_smr,bio_smr_ccs,bio_atr_ccs,305.0,63649.0
CA_SCE_S,coal_gas,coal_gas_ccs,,3.0,855.0
CA_SCE_S,gas_smr,gas_smr_ccs,gas_atr_ccs,13.0,2712.0
CA_SCE_S,biomass_gas,,,0.0,0.0
AZ_NW,bio_smr,bio_smr_ccs,bio_atr_ccs,160.0,33390.0
AZ_NW,coal_gas,coal_gas_ccs,,669.0,190802.0
AZ_NW,gas_smr,gas_smr_ccs,gas_atr_ccs,4292.0,895686.0
AZ_NW,biomass_gas,,,0.0,0.0
AZ_SE,bio_smr,bio_smr_ccs,bio_atr_ccs,651.0,135855.0
AZ_SE,coal_gas,coal_gas_ccs,,1714.0,488843.0
AZ_SE,gas_smr,gas_smr_ccs,gas_atr_ccs,25657.0,5354295.0
AZ_SE,biomass_gas,,,0.0,0.0
AZ_PHX,bio_smr,bio_smr_ccs,bio_atr_ccs,28.0,5843.0
AZ_PHX,coal_gas,coal_gas_ccs,,7.0,1996.0
AZ_PHX,gas_smr,gas_smr_ccs,gas_atr_ccs,353.0,73666.0
AZ_PHX,biomass_gas,,,0.0,0.0
AZ_NM_N,bio_smr,bio_smr_ccs,bio_atr_ccs,1079.0,225173.0
AZ_NM_N,coal_gas,coal_gas_ccs,,2427.0,692195.0
AZ_NM_N,gas_smr,gas_smr_ccs,gas_atr_ccs,22680.0,4733032.0
AZ_NM_N,biomass_gas,,,0.0,0.0
UT_S,bio_smr,bio_smr_ccs,bio_atr_ccs,2772.0,578481.0
UT_S,coal_gas,coal_gas_ccs,,2758.0,786598.0
UT_S,gas_smr,gas_smr_ccs,gas_atr_ccs,8295.0,1731062.0
UT_S,biomass_gas,,,578.0,38598.0
WA_SEATAC,bio_smr,bio_smr_ccs,bio_atr_ccs,0.0,0.0
WA_SEATAC,coal_gas,coal_gas_ccs,,0.0,0.0
WA_SEATAC,gas_smr,gas_smr_ccs,gas_atr_ccs,0.0,0.0
WA_SEATAC,biomass_gas,,,0.0,0.0
NM_N,bio_smr,bio_smr_ccs,bio_atr_ccs,744.0,155263.0
NM_N,coal_gas,coal_gas_ccs,,3599.0,1026457.0
