load_zone,tech,connection_dist
AZ_APS_E,coal_igcc,2126.1505771085012
AZ_APS_E,coal_igcc_ccs,3660.7917380704594
AZ_APS_E,gas_cc,9077.794695381162
AZ_APS_E,gas_cc_ccs,7359.695011304904
AZ_APS_N,coal_igcc,17649.67504455706
AZ_APS_N,coal_igcc_ccs,17649.67504455706
AZ_APS_N,gas_cc,10058.299403762112
AZ_APS_N,gas_cc_ccs,9911.65866474445
AZ_APS_SW,coal_igcc,2615.2183295243885
AZ_APS_SW,coal_igcc_ccs,1810.477802874349
AZ_APS_SW,gas_cc,3561.6263488876243
AZ_APS_SW,gas_cc_ccs,2924.919928620664
AZ_NM_N,coal_igcc,
AZ_NM_N,coal_igcc_ccs,
AZ_NM_N,gas_cc,1649.4038043148707
AZ_NM_N,gas_cc_ccs,1666.3841850543747
AZ_NW,coal_igcc,
AZ_NW,coal_igcc_ccs,
AZ_NW,gas_cc,12131.506160667206
AZ_NW,gas_cc_ccs,9335.85280838972
AZ_PHX,coal_igcc,5904.834253670911
AZ_PHX,coal_igcc_ccs,5904.834253670911
AZ_PHX,gas_cc,3842.900868871477
AZ_PHX,gas_cc_ccs,3809.3820149966436
AZ_SE,coal_igcc,3248.0317435112465
AZ_SE,coal_igcc_ccs,3248.0317435112465
AZ_SE,gas_cc,4576.776709072594
AZ_SE,gas_cc_ccs,6915.903608534384
CA_IID,coal_igcc,
CA_IID,coal_igcc_ccs,
CA_IID,gas_cc,2635.8002584991846
CA_IID,gas_cc_ccs,2635.8002584991846
CA_LADWP,coal_igcc,
CA_LADWP,coal_igcc_ccs,
CA_LADWP,gas_cc,
CA_LADWP,gas_cc_ccs,
CA_PGE_BAY,coal_igcc,
CA_PGE_BAY,coal_igcc_ccs,
CA_PGE_BAY,gas_cc,2745.0806842577213
CA_PGE_BAY,gas_cc_ccs,6462.5809742420315
CA_PGE_CEN,coal_igcc,2544.201597376493
CA_PGE_CEN,coal_igcc_ccs,2544.201597376493
CA_PGE_CEN,gas_cc,2197.092871636856
CA_PGE_CEN,gas_cc_ccs,2004.0777234016753
CA_PGE_N,coal_igcc,3428.288330380559
CA_PGE_N,coal_igcc_ccs,3319.6614554868784
CA_PGE_N,gas_cc,3669.8219268613543
CA_PGE_N,gas_cc_ccs,3637.528008875602
CA_PGE_S,coal_igcc,
CA_PGE_S,coal_igcc_ccs,
CA_PGE_S,gas_cc,2180.1010467606666
CA_PGE_S,gas_cc_ccs,1854.1139014309158
CA_SCE_CEN,coal_igcc,
CA_SCE_CEN,coal_igcc_ccs,
CA_SCE_CEN,gas_cc,1899.8235023744658
CA_SCE_CEN,gas_cc_ccs,2074.414874284822
CA_SCE_S,coal_igcc,
CA_SCE_S,coal_igcc_ccs,
CA_SCE_S,gas_cc,
CA_SCE_S,gas_cc_ccs,
CA_SCE_SE,coal_igcc,3526.613460235423
CA_SCE_SE,coal_igcc_ccs,3526.613460235423
CA_SCE_SE,gas_cc,2908.0050549587622
CA_SCE_SE,gas_cc_ccs,2908.0050549587622
CA_SCE_VLY,coal_igcc,
CA_SCE_VLY,coal_igcc_ccs,
CA_SCE_VLY,gas_cc,1905.8660353971056
CA_SCE_VLY,gas_cc_ccs,1884.7367789455147
CA_SDGE,coal_igcc,
CA_SDGE,coal_igcc_ccs,
CA_SDGE,gas_cc,4557.206208163545
CA_SDGE,gas_cc_ccs,4557.206208163545
CA_SMUD,coal_igcc,
CA_SMUD,coal_igcc_ccs,
CA_SMUD,gas_cc,1071.717182693416
CA_SMUD,gas_cc_ccs,1071.717182693416
CO_DEN,coal_igcc,
CO_DEN,coal_igcc_ccs,
CO_DEN,gas_cc,1748.9995097116587
CO_DEN,gas_cc_ccs,1596.022742406802
CO_E,coal_igcc,2142.9690604532548
CO_E,coal_igcc_ccs,2019.2471146435473
CO_E,gas_cc,4350.620679964339
CO_E,gas_cc_ccs,4165.063401616493
CO_NW,coal_igcc,2836.4209684966395
CO_NW,coal_igcc_ccs,2837.5810085593107
CO_NW,gas_cc,4940.0418916140825
CO_NW,gas_cc_ccs,5027.96545164002
CO_SW,coal_igcc,1887.2013490610498
CO_SW,coal_igcc_ccs,1779.4123781589144
CO_SW,gas_cc,3229.431637399028
CO_SW,gas_cc_ccs,3212.149460507429
ID_E,coal_igcc,1299.9421177235517
ID_E,coal_igcc_ccs,2187.674264998506
ID_E,gas_cc,1975.7528622705045
ID_E,gas_cc_ccs,2016.7537078067885
ID_S_OR_E,coal_igcc,1509.2763923934306
ID_S_OR_E,coal_igcc_ccs,1388.152161613883
ID_S_OR_E,gas_cc,3161.001357683965
ID_S_OR_E,gas_cc_ccs,2423.6259947772
MT_NE,coal_igcc,1919.894132317787
MT_NE,coal_igcc_ccs,1907.7976759494284
MT_NE,gas_cc,4195.7166783435705
MT_NE,gas_cc_ccs,4108.107505138085
MT_NW,coal_igcc,1623.7941778086085
MT_NW,coal_igcc_ccs,1737.8204568352744
MT_NW,gas_cc,2064.0126876926897
MT_NW,gas_cc_ccs,1834.80201656492
MT_SE,coal_igcc,3321.784553019622
MT_SE,coal_igcc_ccs,3318.526340683225
MT_SE,gas_cc,5748.058045941073
MT_SE,gas_cc_ccs,5664.10331685872
MT_SW,coal_igcc,1135.9350702740196
MT_SW,coal_igcc_ccs,1105.6299651574802
MT_SW,gas_cc,3563.7518710305962
MT_SW,gas_cc_ccs,3211.0937903821077
NM_N,coal_igcc,10017.9672912513
NM_N,coal_igcc_ccs,10110.484256612237
NM_N,gas_cc,8442.91262347436
NM_N,gas_cc_ccs,8349.488867286042
NM_S_TX_EPE,coal_igcc,14161.709149373275
NM_S_TX_EPE,coal_igcc_ccs,14984.41675818
NM_S_TX_EPE,gas_cc,9542.987471410072
NM_S_TX_EPE,gas_cc_ccs,7598.440042098191
NV_N,coal_igcc,2761.8379829414316
NV_N,coal_igcc_ccs,2761.8379829414316
NV_N,gas_cc,6887.516222888966
NV_N,gas_cc_ccs,6710.181524997443
NV_S,coal_igcc,
NV_S,coal_igcc_ccs,
NV_S,gas_cc,4191.56856304249
NV_S,gas_cc_ccs,5785.651624146724
OR_E,coal_igcc,3639.5469903973662
OR_E,coal_igcc_ccs,3580.3009108265624
OR_E,gas_cc,5892.325000631086
OR_E,gas_cc_ccs,5179.629911657307
OR_PDX,coal_igcc,
OR_PDX,coal_igcc_ccs,
OR_PDX,gas_cc,2122.6559694411458
OR_PDX,gas_cc_ccs,2065.4368794467428
OR_W,coal_igcc,992.1951733473688
OR_W,coal_igcc_ccs,1029.3235771245588
OR_W,gas_cc,1810.9028908987814
OR_W,gas_cc_ccs,1773.5418198158186
OR_WA_BPA,coal_igcc,1427.253700438142
OR_WA_BPA,coal_igcc_ccs,1345.126990245213
OR_WA_BPA,gas_cc,2162.8749588337437
OR_WA_BPA,gas_cc_ccs,2058.0137412238055
UT_N,coal_igcc,
UT_N,coal_igcc_ccs,
UT_N,gas_cc,2124.9062000583244
UT_N,gas_cc_ccs,1888.9939062399824
UT_S,coal_igcc,1425.5733611405674
UT_S,coal_igcc_ccs,1653.6732051754836
UT_S,gas_cc,2655.935897791456
UT_S,gas_cc_ccs,2599.6256683626507
WA_ID_AVA,coal_igcc,2476.3923560025487
WA_ID_AVA,coal_igcc_ccs,3528.3298503559176
WA_ID_AVA,gas_cc,2760.758308088472
WA_ID_AVA,gas_cc_ccs,2641.547206641873
WA_N_CEN,coal_igcc,2105.3440037337514
WA_N_CEN,coal_igcc_ccs,2815.60547348347
WA_N_CEN,gas_cc,2496.9393809119356
WA_N_CEN,gas_cc_ccs,2154.004804881776
WA_SEATAC,coal_igcc,
WA_SEATAC,coal_igcc_ccs,
WA_SEATAC,gas_cc,
WA_SEATAC,gas_cc_ccs,
WA_W,coal_igcc,1517.0474243613546
WA_W,coal_igcc_ccs,1752.7892094165745
WA_W,gas_cc,1925.139872672086
WA_W,gas_cc_ccs,1922.7697215298724
WY_NE,coal_igcc,2891.7397859753755
WY_NE,coal_igcc_ccs,3529.648096525563
WY_NE,gas_cc,4670.625205728044
WY_NE,gas_cc_ccs,4576.469265670683
WY_NW,coal_igcc,1140.96047424076
WY_NW,coal_igcc_ccs,1178.292091272064
WY_NW,gas_cc,3614.9980797182216
WY_NW,gas_cc_ccs,3570.5592652155547
WY_SE,coal_igcc,2974.4744614528654
WY_SE,coal_igcc_ccs,2713.0062307975854
WY_SE,gas_cc,5319.336685980388
WY_SE,gas_cc_ccs,4925.149384300462
WY_SW,coal_igcc,1813.3732481612037
WY_SW,coal_igcc_ccs,1596.8473119408616
WY_SW,gas_cc,4386.93207346421
WY_SW,gas_cc_ccs,4087.87165938415
