scenario,gen_load_zone,Battery_Storage,Bio_Gas_Combustion_Turbine,Bio_Gas_Combustion_Turbine_Cogen,Bio_Gas_Internal_Combustion_Engine,Bio_Gas_Internal_Combustion_Engine_Cogen,Bio_Gas_Steam_Turbine,Bio_Liquid_Steam_Turbine_Cogen,Bio_Solid_Steam_Turbine,Bio_Solid_Steam_Turbine_Cogen,Bio_post_ccs,CCGT,CCGT_Cogen,Central_PV,Coal_IGCC,Coal_Steam_Turbine,Coal_Steam_Turbine_Cogen,Commercial_PV,DistillateFuelOil_Internal_Combustion_Engine,DistillateFuelOil_Internal_Combustion_Engine_Cogen,Gas_Combustion_Turbine,Gas_Combustion_Turbine_Cogen,Gas_Internal_Combustion_Engine,Gas_Internal_Combustion_Engine_Cogen,Gas_Steam_Turbine,Gas_Steam_Turbine_Cogen,Geothermal,IGCC_pre_ccs_90,NGCC_post_ccs_95,Nuclear,Residential_PV,Wind
Limited Progress,AZ_APS_E,0.00011606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.62,0.0,974.6267943519999,0.0,0.0,0.0,0.000219073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.328e-05,0.0,0.0,240.00226948
Limited Progress,AZ_APS_N,0.0001152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.28,0.0,134.212395231,0.0,0.0,0.0,3.6416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2809e-05,0.0,0.0,3030.000415693
Limited Progress,AZ_APS_SW,0.00012319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.20155986,0.0,20584.999525374,0.0,0.0,0.0,0.000141878,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4198e-05,0.0,0.0,0.000182661
Limited Progress,AZ_NM_N,0.00010613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.00210039999999,0.0,493.080079935,0.0,0.0,0.0,3.5768e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2348e-05,0.0,0.0,30.019912155
Limited Progress,AZ_NW,0.00011935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.6702818499999,0.0,3213.66542204,0.0,0.0,0.0,7.6115e-05,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012764669999999999
Limited Progress,AZ_PHX,0.00012404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19422.00084376,9.2,4457.909685279999,0.0,0.0,0.0,9.4878e-05,0.0,0.0,520.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,1.1496e-05,0.0,0.0,0.000333666
Limited Progress,AZ_SE,0.00012151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6523.50015384,14.5,303.60248537999996,0.0,0.0,0.0,0.0,0.0,0.0,1635.6,0.0,0.0,1.1418e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.003292787
Limited Progress,CAN_ALB,2224.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13421.303057539999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34421.634419405
Limited Progress,CAN_BC,3.8464e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,0.0,0.0,0.0,0.0,7896.581155068
Limited Progress,CA_IID,0.00011684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3028.20019891,0.0,7022.386771389,0.0,0.0,0.0,4.1577e-05,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,2616.7000000000003,0.0,1.3253e-05,0.0,0.0,0.00016852
Limited Progress,CA_LADWP,0.00012824,0.0,0.0,1.3547e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00163912,19.8,0.0,0.0,0.0,0.0,0.000184693,0.0,0.0,576.8,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
