scenario,gen_load_zone,Battery_Storage,Bio_Gas_Combustion_Turbine,Bio_Gas_Combustion_Turbine_Cogen,Bio_Gas_Internal_Combustion_Engine,Bio_Gas_Internal_Combustion_Engine_Cogen,Bio_Gas_Steam_Turbine,Bio_Liquid_Steam_Turbine_Cogen,Bio_Solid_Steam_Turbine,Bio_Solid_Steam_Turbine_Cogen,Bio_post_ccs,CCGT,CCGT_Cogen,Central_PV,Coal_IGCC,Coal_Steam_Turbine,Coal_Steam_Turbine_Cogen,Commercial_PV,DistillateFuelOil_Internal_Combustion_Engine,DistillateFuelOil_Internal_Combustion_Engine_Cogen,Gas_Combustion_Turbine,Gas_Combustion_Turbine_Cogen,Gas_Internal_Combustion_Engine,Gas_Internal_Combustion_Engine_Cogen,Gas_Steam_Turbine,Gas_Steam_Turbine_Cogen,Geothermal,IGCC_pre_ccs_90,NGCC_post_ccs_95,Nuclear,Residential_PV,Wind
Moderate Action,AZ_APS_E,0.42615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034659,620.72,0.0,595.8783775,0.00032725,0.00139258,0.0,0.0364248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027813,0.013286,0.0,0.0110298,330.0
Moderate Action,AZ_APS_N,0.23535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.31,0.0,200.3689458,0.00032647,0.0,0.0,0.006077000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002695,0.0057885,0.0,0.002499,3120.0
Moderate Action,AZ_APS_SW,2029.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41987399999999997,0.0,20095.059357,0.00032755,0.0,0.0,0.0231449,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028033,0.028139,0.0012587,0.013241900000000001,0.1146944
Moderate Action,AZ_NM_N,0.04724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1229409,0.0,194.86963260000002,0.0,0.0,0.0,0.0058451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053515,0.0,0.0060935,122.846344
Moderate Action,AZ_NW,784.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1852701,0.0,2870.6891259999998,0.0,0.0,0.0,0.0121961,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026357,0.0,0.001219,3023.114173
Moderate Action,AZ_PHX,5469.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12753.0421893,9.2,8853.158513,0.00032831,0.0,0.0,0.0155886,0.0,0.0,520.0,7.9,0.0,0.0,0.0,0.0,0.0,0.00025342,0.0030945,0.0,0.0011592,30.173046399999997
Moderate Action,AZ_SE,35.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6260.3087062,14.5,1.530996,0.00032831,0.0,0.0,0.0,0.0,0.0,1635.6,0.0,0.0013407,0.001515,0.0,0.0,0.0,0.00025082,0.0027761,0.0,0.0,2130.6876819
Moderate Action,CAN_ALB,7255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22171.979344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046493,45341.040382
Moderate Action,CAN_BC,0.011356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,0.0,0.0,0.0,0.0,9585.714668
Moderate Action,CA_IID,5.3332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075513,0.15094809999999997,0.0,7483.926551,0.0,0.0,0.0,0.006713,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,2616.7000000000003,0.0,0.018913,0.0,0.0036828,32.0039819
Moderate Action,CA_LADWP,0.58761,0.0,0.0,0.0016838,0.0,0.0,0.0,0.0,0.0,0.0,0.0346094,0.11006,0.0,0.0,0.0,0.0,0.030696,0.0,0.0,576.8,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114644,0.0
Moderate Action,CA_PGE_BAY,0.072179,0.0,0.0,0.0045265,0.0018345,0.0,0.0,0.0,0.0,0.0002183,6322.1644534,347.0185274,518.716817,0.0,0.0,0.0,0.0,0.0115461,0.0,1209.6,3.5,0.0011254,0.0101071,0.0,0.0,0.0,0.0,1487.2,0.0,0.0,0.356479
Moderate Action,CA_PGE_CEN,0.081747,0.0,0.0,0.0,0.0036741,0.0,0.0,0.0,0.0,0.00258214,6492.2998249,0.0,6405.54823,0.0,0.0,0.0,0.027616599999999998,0.0012734,0.0013243,1213.7,63.6,0.0029384,0.0,0.0,0.0,0.0,0.0,7.2068,0.0,0.0065804,0.0
Moderate Action,CA_PGE_N,0.057845,0.0,0.0,0.011663699999999999,0.0,0.0,0.0,0.0,0.0,0.00536328,0.1301261,0.0,11734.585871000001,0.0,0.0,0.0,0.0031937,15.0,0.0,416.6,51.9,0.0044638,0.0048694,0.0,0.0,1914.3,0.0,0.028524,0.0,0.0039779,1533.402971
Moderate Action,CA_PGE_S,0.6936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045837,2682.353795,0.009266,7331.079882,0.0,0.0,0.0,0.0501965,0.0,0.0,196.09980000000002,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.10177,0.0012195,0.0104263,0.0
Moderate Action,CA_SCE_CEN,7716.1,0.0,0.0,0.0,0.0017285,0.0,0.0,0.0,0.0,0.0,18815.0080372,0.0,49803.139976,0.0,0.0,0.0,0.033978,0.002519,0.0,49.8,16.4,0.0014178,0.0044631,0.0,0.0,421.2,0.0,0.045842,0.0,0.0155021,4655.036896
