scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Clean Air,AZ_APS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028973,0.0,0.0,131.03,0.0,18.504586,0.413767
Clean Air,AZ_APS_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030401,0.0,0.0,479.32,0.0,56.778138,0.67272
Clean Air,AZ_APS_SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03037,0.0,0.0,135.33,0.033213,234.746317,0.21803799999999998
Clean Air,AZ_NM_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030145,0.0,0.0,771.19,0.0,17.358496,0.679076
Clean Air,AZ_NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02961,0.0,0.0,81.274,0.0,97.838258,0.800234
Clean Air,AZ_PHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062688,0.0,0.0,3611.6,0.0,386.172386,0.258073
Clean Air,AZ_SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,0.0,613.14,0.0,89.36793,1.484101
Clean Air,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023473,0.0,0.0,2050.6,0.0,0.866456,7.775501
Clean Air,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024743,0.0,0.0,0.086252,0.0,0.495792,1.170966
Clean Air,CA_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05226,0.0,0.0,17035.0,0.0,4705.235758,0.125416
Clean Air,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93727,0.0,0.0,7425.0,0.0,0.316017,0.0
Clean Air,CA_PGE_BAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8573,0.0,0.0,5796.6,0.0,61.488929999999996,1.13624
Clean Air,CA_PGE_CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049397,0.0,0.0,1.526,0.0,23.467285,0.0
Clean Air,CA_PGE_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092678,0.0,0.0,327.91,0.0,76.87016,7.472646
Clean Air,CA_PGE_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061833,0.0,0.0,514.18,0.04225,262.015684,0.0
Clean Air,CA_SCE_CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059345,0.0,0.0,2687.0,0.0,859.980991,19.567426
Clean Air,CA_SCE_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12091,0.0,0.0,0.59361,0.0,10.984210000000001,1.356417
Clean Air,CA_SCE_SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043813,0.0,0.0,37.279,0.0,40.272324,0.0
Clean Air,CA_SCE_VLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03909,0.0,0.0,3.8402,0.0,3.914831,0.0
Clean Air,CA_SDGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053441,0.0,0.0,11.741,0.0,3.165925,0.619532
Clean Air,CA_SMUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076849,0.0,0.0,482.08,0.0,49.4078,0.0
Clean Air,CO_DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077719,0.0,0.0,911.13,0.0,0.847509,7.383864
Clean Air,CO_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032531,0.0,0.0,646.0,0.0,1.161971,14.806659
Clean Air,CO_NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029613,0.0,0.0,86.188,0.0,1.920437,6.47371
Clean Air,CO_SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027728,0.0,0.0,304.56,0.0,4.378025,4.691308
Clean Air,ID_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031007,0.0,0.0,616.29,0.0,3.418454,2.883306
Clean Air,ID_S_OR_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035213,0.0,0.0,2508.2,0.0,39.449005,6.171212
Clean Air,MEX_BAJA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030928,0.0,0.0,5.0212,0.0,8.27882,0.05802
Clean Air,MT_NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025896,0.0,0.0,328.04,0.0,0.867224,3.1692899999999997
Clean Air,MT_NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028149,0.0,0.0,45.529,0.0,2.308839,1.901086
