scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Moderate Action,AZ_APS_E,0.0010166,0.0017433,0.00075578,0.0009609,0.00046934,0.00049126,46.706,0.0003662,0.035926,0.0026832,0.018637,0.0,0.10771011,0.0242411
Moderate Action,AZ_APS_N,0.0010066,0.0018501,0.00076673,0.0,0.00047357,0.00049677,181.48,0.00036519,11.485,0.0028358,0.017555,0.0,0.31012357,0.0183518
Moderate Action,AZ_APS_SW,0.0010157,0.0017977,0.00076005,0.0,0.00047005,0.00049364,107.31,0.00036613,0.041436,0.0027064,0.12961,0.00049577,0.52526855,0.004559189999999999
Moderate Action,AZ_NM_N,0.0010082,0.0017628,0.00075627,0.0,0.00047241,0.00049263,189.15,0.00036708,131.95,0.0027408,43.643,0.0,0.17182804,0.0376553
Moderate Action,AZ_NW,0.0010045,0.0018032,0.00075708,0.0,0.0004724,0.00049525,46.927,0.00036603,4.5431,0.0027798,0.039519,0.0,0.17158189,0.0447684
Moderate Action,AZ_PHX,0.0010258,0.0017383,0.00076108,0.0,0.00046663,0.00049271,2311.5,0.00036772,0.10355,0.0027489,217.33,0.0,0.16660459,0.00545278
Moderate Action,AZ_SE,0.0010269,0.0017579,0.00076188,0.0,0.00046969,0.00049227,229.96,0.00036669,0.093094,0.0027271,0.023994,0.0,0.12141,0.04119036
Moderate Action,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036751,0.0,0.0,0.017504,0.0,0.0139137,0.09083820000000001
Moderate Action,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035591,0.0,0.0,0.0012492,0.0,0.00765117,0.0190552
Moderate Action,CA_IID,0.0010107,0.0018565,0.00077092,0.0010249,0.00046492,0.00047083,1656.1,0.00036891,46.484,0.0030355,0.022613,0.0,0.31662603,0.004981790000000001
Moderate Action,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00058544,0.0,0.0,2208.2,0.0,0.00544428,0.0
Moderate Action,CA_PGE_BAY,0.0010481,0.0020224,0.00079382,0.0,0.0,0.0,2294.9,0.0004056,0.10608,0.0029825,0.63883,0.0,0.0761227,0.0083445
Moderate Action,CA_PGE_CEN,0.001022,0.0018974,0.00077426,0.0010176,0.00046164,0.00047041,4172.3,0.00036569,467.25,0.003021,0.006332,0.0,0.10593795,0.0
Moderate Action,CA_PGE_N,0.0010385,0.0020347,0.00078889,0.0010444,0.00046446,0.00047099,1086.2,0.0003675,21.897,0.003011,0.0074329,0.0,0.08512463,0.1360434
Moderate Action,CA_PGE_S,0.001045,0.0020717,0.0007919,0.0010218,0.00046213,0.00047035,282.27,0.00036681,6.4431,0.0029435,0.013414,0.00048452,0.10237797,0.0
Moderate Action,CA_SCE_CEN,0.0010126,0.0018226,0.00076884,0.0,0.00046675,0.00046948,10923.0,0.00036608,192.75,0.0030472,0.016803,0.0,0.85767932,0.72855746
