scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Bussiness as Usual,AZ_APS_E,0.0,0.0020419,0.0,0.0018851,0.00071153,0.0,0.0,0.00034598,0.0060442,0.0,0.0015312,0.0,0.03392322,0.006272649999999999
Bussiness as Usual,AZ_APS_N,0.0,0.0020952,0.0,0.0,0.00071321,0.0,0.0,0.00034529,0.0063065,0.0,0.0015392,0.0,0.07932608,0.00413157
Bussiness as Usual,AZ_APS_SW,0.0,0.0021469,0.0,0.0,0.00072508,0.0,0.0,0.00034659,0.0068262,0.0,0.0014552,0.00039617,0.0561291,0.0029607
Bussiness as Usual,AZ_NM_N,0.0,0.0020561,0.0,0.0,0.00069387,0.0,0.0,0.00034452,0.0057537,0.0,0.0017194,0.0,0.05429394,0.01118208
Bussiness as Usual,AZ_NW,0.0,0.002099,0.0,0.0,0.00072422,0.0,0.0,0.00034711,0.0077819,0.0,0.0015335,0.0,0.03029395,0.00976106
Bussiness as Usual,AZ_PHX,0.0,0.0020768,0.0,0.0,0.00071327,0.0,0.0,0.00034592,0.0060891,0.0,0.0014191,0.0,0.0185014,0.00392937
Bussiness as Usual,AZ_SE,0.0,0.0020759,0.0,0.0,0.00071589,0.0,0.0,0.000347,0.006385,0.0,0.0015005,0.0,0.02843107,0.01699151
Bussiness as Usual,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037376,0.0,0.0,0.0016262,0.0,0.00823017,0.02680937
Bussiness as Usual,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034717,0.0,0.0,0.00080056,0.0,0.00509237,0.01338204
Bussiness as Usual,CA_IID,0.0,0.0021694,0.0,0.0050738,0.00069065,0.0,0.0,0.0003488,0.0093973,0.0,0.0014374,0.0,0.03144319,0.00146518
Bussiness as Usual,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035557,0.0,0.0,0.0015677,0.0,0.00419803,0.0
Bussiness as Usual,CA_PGE_BAY,0.0,0.0022842,0.0,0.0,0.0,0.0,0.0,0.00034904,1745.1,0.0,0.0013788,0.0,0.00894754,0.00422347
Bussiness as Usual,CA_PGE_CEN,0.0,0.0022144,0.0,0.0027364,0.00070512,0.0,0.0,0.00034312,0.011998,0.0,0.0011435,0.0,0.02508318,0.0
Bussiness as Usual,CA_PGE_N,0.0,0.0022462,0.0,0.061615,0.00071308,0.0,0.0,0.00034799,418.53,0.0,0.0013173,0.0,0.02452188,0.04250756
Bussiness as Usual,CA_PGE_S,0.0,0.0021907,0.0,3.5171,0.00073606,0.0,0.0,0.00034826,9.8522,0.0,0.0013363,0.00039894,0.02600578,0.0
Bussiness as Usual,CA_SCE_CEN,0.0,0.00221,0.0,0.0,0.00069613,0.0,0.0,0.00034541,20.035,0.0,0.0013052,0.0,0.08081698,0.10279767
Bussiness as Usual,CA_SCE_S,0.0,0.0023492,0.0,0.0,0.00074416,0.0,0.0,0.00034873,1974.9,0.0,0.0015711,0.0,0.03099863,0.01109361
Bussiness as Usual,CA_SCE_SE,0.0,0.0022298,0.0,0.0,0.00068876,0.0,0.0,0.00034718,0.0095638,0.0,0.0014833,0.0,0.04818878,0.0
Bussiness as Usual,CA_SCE_VLY,0.0,0.0021571,0.0,0.079779,0.00067182,0.0,0.0,0.00034157,0.013097,0.0,0.001159,0.0,0.0067326,0.0
Bussiness as Usual,CA_SDGE,0.0,0.0021991,0.0,0.0,0.00073418,0.0,0.0,0.00034801,0.010573,0.0,0.001443,0.0,0.00396378,0.0089194
Bussiness as Usual,CA_SMUD,0.0,0.0021285,0.0,0.0,0.00073567,0.0,0.0,0.00034658,21.3,0.0,0.0012231,0.0,0.0026747,0.0
Bussiness as Usual,CO_DEN,0.0,0.0021646,0.0,0.0,0.00074094,0.0,0.0,0.00034849,98.658,0.0,0.0025696,0.0,0.0060003800000000005,0.07832256
Bussiness as Usual,CO_E,0.0,0.0020964,0.0,0.0,0.00070196,0.0,0.0,0.00034668,0.0079289,0.0,0.0022364,0.0,0.01146752,0.06072337
Bussiness as Usual,CO_NW,0.0,0.002115,0.0,0.0029467,0.00069994,0.0,0.0,0.00034611,0.0070896,0.0,0.0019276,0.0,0.01311177,0.06487058
Bussiness as Usual,CO_SW,0.0,0.0020769,0.0,0.0,0.00066569,0.0,0.0,0.00034165,0.0051095,0.0,0.001922,0.0,0.02471178,0.04047952
Bussiness as Usual,ID_E,0.0,0.0020929,0.0,0.011941,0.00069295,0.0,0.0,0.00034284,0.0056971,0.0,0.0014554,0.0,0.0069041,0.02291417
Bussiness as Usual,ID_S_OR_E,0.0,0.0021255,0.0,0.0095947,0.00066614,0.0,0.0,0.0003406,0.0044917,0.0,0.0012733,0.0,0.009283369999999999,0.05693242
Bussiness as Usual,MEX_BAJA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034786,0.0,0.0,0.0013382,0.0,0.00578189,0.00105913
Bussiness as Usual,MT_NE,0.0,0.0022628,0.0,0.0,0.00079566,0.0,0.0,0.00035021,48.083,0.0,0.0013656,0.0,0.00707617,0.0129029
Bussiness as Usual,MT_NW,0.0,0.0021698,0.0,0.0059234,0.00070858,0.0,0.0,0.00034882,0.0073587,0.0,0.0013062,0.0,0.0101606,0.02172717
Bussiness as Usual,MT_SE,0.0,0.0021905,0.0,0.0,0.00077436,0.0,0.0,0.00034866,339.38,0.0,0.0014243,0.0,0.0038552,0.02112185
Bussiness as Usual,MT_SW,0.0,0.0021633,0.0,0.0,0.00071233,0.0,0.0,0.00034484,0.0074039,0.0,0.0013104,0.0,0.01063579,0.01078955
Bussiness as Usual,NM_N,0.0,0.0020797,0.0,0.0,0.00069258,0.0,0.0,0.00034535,0.0060668,0.0,0.0020852,0.0,0.07165697,0.027687240000000002
Bussiness as Usual,NM_S_TX_EPE,0.0,0.0020904,0.0,0.0,0.00067711,0.0,0.0,0.0003472,8.3394,0.0,0.0020931,0.0,0.05738712,0.00576268
Bussiness as Usual,NV_N,0.0,0.0021584,0.0,0.0,0.00068534,0.0,0.0,0.00034238,0.0063484,0.0,0.0017423,0.0,0.11028408,0.027909530000000002
Bussiness as Usual,NV_S,0.0,0.0021879,0.0,0.0,0.00073359,0.0,0.0,0.00034407,0.32686,0.0,0.0014852,0.0,0.07435614,0.06805673
Bussiness as Usual,OR_E,0.0,0.0021283,0.0,0.0077212,0.00063104,0.0,0.0,0.00034062,0.0045496,0.0,0.0011254,0.0,0.00402735,0.00731039
Bussiness as Usual,OR_PDX,0.0,0.0022555,0.0,0.0,0.0,0.0,0.0,0.00034604,0.0,0.0,0.0011198,0.0,0.00353793,0.02245093
Bussiness as Usual,OR_W,0.0,0.0021622,0.0,0.015572,0.00063292,0.0,0.0,0.00034158,0.0048298,0.0,0.0010866,0.0,0.01655967,0.05649601
Bussiness as Usual,OR_WA_BPA,0.0,0.0021934,0.0,0.0,0.00065926,0.0,0.0,0.00034533,0.0057292,0.0,0.0010987,0.00039003,0.012697710000000001,0.03533293
Bussiness as Usual,UT_N,0.0,0.0021885,0.0,0.0,0.00074043,0.0,0.0,0.00034549,86.03,0.0,0.0015781,0.0,0.03777276,0.035805290000000004
Bussiness as Usual,UT_S,0.0,0.0021087,0.0,0.0044835,0.00069457,0.0,0.0,0.00034341,0.0068541,0.0,0.0014724,0.0,0.037422,0.02504922
Bussiness as Usual,WA_ID_AVA,0.0,0.0021187,0.0,0.004408,0.00063082,0.0,0.0,0.00034061,0.0047124,0.0,0.0011042,0.0,0.01462845,0.07476096
Bussiness as Usual,WA_N_CEN,0.0,0.0021694,0.0,0.0,0.00067141,0.0,0.0,0.00034592,0.0064322,0.0,0.0011071,0.0,0.00524004,0.01763134
Bussiness as Usual,WA_SEATAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003545,0.0,0.0,0.0011455,0.0,0.0,0.00050995
Bussiness as Usual,WA_W,0.0,0.002296,0.0,84.528,0.0,0.0,0.0,0.00035375,372.01,0.0,0.0011767,0.0,0.0020435699999999998,0.05187992
Bussiness as Usual,WY_NE,0.0,0.0020851,0.0,0.0,0.00069181,0.0,0.0,0.00034086,0.0038749,0.0,0.002218,0.0,0.00534791,0.02539711
Bussiness as Usual,WY_NW,0.0,0.0021092,0.0,0.0,0.00072544,0.0,0.0,0.00034667,0.010056,0.0,0.0019734,0.0,0.0035136300000000002,0.01809135
Bussiness as Usual,WY_SE,0.0,0.002143,0.0,0.0,0.00074636,0.0,0.0,0.0003489,137.92,0.0,0.0036733,0.0,0.00546847,0.0794179
Bussiness as Usual,WY_SW,0.0,0.0020433,0.0,0.0,0.00071632,0.0,0.0,0.00034456,0.0082987,0.0,0.0014769,0.00048854,0.0062499800000000005,0.00982343
