scenario,gen_load_zone,Battery_Storage,Bio_Gas_Combustion_Turbine,Bio_Gas_Combustion_Turbine_Cogen,Bio_Gas_Internal_Combustion_Engine,Bio_Gas_Internal_Combustion_Engine_Cogen,Bio_Gas_Steam_Turbine,Bio_Liquid_Steam_Turbine_Cogen,Bio_Solid_Steam_Turbine,Bio_Solid_Steam_Turbine_Cogen,Bio_post_ccs,CCGT,CCGT_Cogen,Central_PV,Coal_IGCC,Coal_Steam_Turbine,Coal_Steam_Turbine_Cogen,Commercial_PV,DistillateFuelOil_Internal_Combustion_Engine,DistillateFuelOil_Internal_Combustion_Engine_Cogen,Gas_Combustion_Turbine,Gas_Combustion_Turbine_Cogen,Gas_Internal_Combustion_Engine,Gas_Internal_Combustion_Engine_Cogen,Gas_Steam_Turbine,Gas_Steam_Turbine_Cogen,Geothermal,IGCC_pre_ccs_90,NGCC_post_ccs_95,Nuclear,Residential_PV,Wind
Clean Air,AZ_APS_E,1295.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3403.9872899999996,0.0,0.0,0.0,1.77454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504829,24.5323
Clean Air,AZ_APS_N,1779.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2396.58192,0.0,0.0,0.0,0.29518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11346400000000001,3031.0575599999997
Clean Air,AZ_APS_SW,15558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45835.10991,0.0,0.0,0.0,1.07153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25554,0.586584,4.786989999999999
Clean Air,AZ_NM_N,726.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3816.01984,0.0,0.0,0.0,0.30008999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284514,5.64602
Clean Air,AZ_NW,2345.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5034.94679,0.0,0.0,0.0,0.56999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055902,486.90739
Clean Air,AZ_PHX,7499.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24554.0873,0.0,0.0,0.0,0.75631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051634,34.03311
Clean Air,AZ_SE,4759.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12053.57043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610.64836
Clean Air,CAN_ALB,7384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26186.2672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228306,53079.57628
Clean Air,CAN_BC,0.92059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.001,0.0,0.0,0.0,0.0,10644.94167
Clean Air,CA_IID,1930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57595.597630000004,0.0,0.0,0.0,0.32338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2616.699,0.0,0.0,0.0,0.163683,32.2008
