scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Bussiness as Usual,AZ_APS_E,0.0,0.0018813,0.0,0.0017242,0.00065738,0.0,0.0,0.0003209,0.0052832,0.0,0.0014339,0.0,0.0316517,0.00584359
Bussiness as Usual,AZ_APS_N,0.0,0.0019369,0.0,0.0,0.00065963,0.0,0.0,0.00032016,0.0054645,0.0,0.0014455,0.0,0.07425477,0.00384583
Bussiness as Usual,AZ_APS_SW,0.0,0.0019797,0.0,0.0,0.00067014,0.0,0.0,0.00032142,0.005961,0.0,0.001368,0.00036728,0.05254787,0.00273624
Bussiness as Usual,AZ_NM_N,0.0,0.0019035,0.0,0.0,0.00064138,0.0,0.0,0.00031952,0.0050661,0.0,0.0016102,0.0,0.05066742,0.01039492
Bussiness as Usual,AZ_NW,0.0,0.0019428,0.0,0.0,0.00066831,0.0,0.0,0.00032177,0.0065713,0.0,0.0014455,0.0,0.02841277,0.00904785
Bussiness as Usual,AZ_PHX,0.0,0.0019092,0.0,0.0,0.00065868,0.0,0.0,0.00032088,0.0053168,0.0,0.001331,0.0,0.01729562,0.00363111
Bussiness as Usual,AZ_SE,0.0,0.0019098,0.0,0.0,0.00066108,0.0,0.0,0.00032176,0.0055862,0.0,0.0014067,0.0,0.02658863,0.01572053
Bussiness as Usual,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034767,0.0,0.0,0.0015121,0.0,0.00762183,0.02488616
Bussiness as Usual,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032199,0.0,0.0,0.00074016,0.0,0.0047039000000000004,0.01235886
Bussiness as Usual,CA_IID,0.0,0.0020032,0.0,0.0046872,0.00063985,0.0,0.0,0.00032354,0.0084324,0.0,0.0013561,0.0,0.02946129,0.0013568599999999999
Bussiness as Usual,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032886,0.0,0.0,0.0015182,0.0,0.00390952,0.0
Bussiness as Usual,CA_PGE_BAY,0.0,0.0021253,0.0,0.0,0.0,0.0,0.0,0.00032364,1746.0,0.0,0.0013185,0.0,0.00848316,0.00390594
Bussiness as Usual,CA_PGE_CEN,0.0,0.0020321,0.0,0.0026988,0.00066244,0.0,0.0,0.00031876,0.010246,0.0,0.001175,0.0,0.02509619,0.0
