scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Clean Air,AZ_APS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027877,0.0,0.0,128.21,0.0,20.585195,0.41573
Clean Air,AZ_APS_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029397,0.0,0.0,495.22,0.0,51.788534,0.6352599999999999
Clean Air,AZ_APS_SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029196,0.0,0.0,146.92,0.030909,208.327295,0.197764
Clean Air,AZ_NM_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029016,0.0,0.0,695.18,0.0,17.89456,0.6430750000000001
Clean Air,AZ_NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028541,0.0,0.0,83.2,0.0,95.26782899999999,0.73338
Clean Air,AZ_PHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062625,0.0,0.0,3689.3,0.0,384.938359,0.24313
Clean Air,AZ_SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029705,0.0,0.0,592.69,0.0,102.52477999999999,1.426631
Clean Air,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02235,0.0,0.0,2451.4,0.0,0.821349,7.298206
Clean Air,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023715,0.0,0.0,0.077986,0.0,0.44848299999999997,1.067627
Clean Air,CA_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050418,0.0,0.0,17353.0,0.0,4604.766355,0.119485
Clean Air,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96258,0.0,0.0,7273.5,0.0,0.299037,0.0
Clean Air,CA_PGE_BAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8043,0.0,0.0,5699.5,0.0,60.796679999999995,1.09488
Clean Air,CA_PGE_CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048654,0.0,0.0,1.3746,0.0,21.161232,0.0
Clean Air,CA_PGE_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094171,0.0,0.0,318.84,0.0,70.910611,7.176812
Clean Air,CA_PGE_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063442,0.0,0.0,476.76,0.041031,259.45163,0.0
Clean Air,CA_SCE_CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056638,0.0,0.0,3047.3,0.0,812.528949,18.927694
Clean Air,CA_SCE_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12338,0.0,0.0,0.57848,0.0,10.647780000000001,1.2975
Clean Air,CA_SCE_SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041729,0.0,0.0,36.746,0.0,39.066216,0.0
Clean Air,CA_SCE_VLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038535,0.0,0.0,2.8752,0.0,3.252142,0.0
Clean Air,CA_SDGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052503,0.0,0.0,6.004,0.0,2.613489,0.583753
Clean Air,CA_SMUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076669,0.0,0.0,490.7,0.0,43.9657,0.0
Clean Air,CO_DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077985,0.0,0.0,815.8,0.0,0.822721,6.901705
Clean Air,CO_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032165,0.0,0.0,661.97,0.0,1.112461,14.008124
Clean Air,CO_NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028906,0.0,0.0,87.204,0.0,1.837337,6.198932
Clean Air,CO_SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026555,0.0,0.0,310.93,0.0,4.170081,4.529612
Clean Air,ID_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030077,0.0,0.0,457.13,0.0,3.353326,2.709359
Clean Air,ID_S_OR_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034577,0.0,0.0,2539.4,0.0,37.980833,5.7990070000000005
Clean Air,MEX_BAJA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02992,0.0,0.0,5.2567,0.0,8.18635,0.055093
Clean Air,MT_NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024904,0.0,0.0,332.73,0.0,0.8099620000000001,2.98677
Clean Air,MT_NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027079,0.0,0.0,36.458,0.0,2.163865,1.786124
Clean Air,MT_SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032905,0.0,0.0,408.01,0.0,0.477105,2.469028
Clean Air,MT_SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027126,0.0,0.0,639.3,0.0,2.348967,2.38357
Clean Air,NM_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030894,0.0,0.0,5664.4,0.0,16.65138,12.943249999999999
Clean Air,NM_S_TX_EPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10497,0.0,0.0,4068.3,0.0,124.647852,7.000465
Clean Air,NV_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033247,0.0,0.0,6873.5,0.0,570.902882,3.6442930000000002
Clean Air,NV_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04244,0.0,0.0,5126.3,0.0,962.0786,6.111496
Clean Air,OR_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031994,0.0,0.0,1.7982,0.0,3.104237,0.798906
Clean Air,OR_PDX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31052,0.0,0.0,254.28,0.0,0.9879040000000001,2.553186
Clean Air,OR_W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059743,0.0,0.0,41.566,0.0,19.026496,5.285537
Clean Air,OR_WA_BPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041203,0.0,0.0,2.2795,0.038352,8.437095,4.134476
Clean Air,UT_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064284,0.0,0.0,366.27,0.0,10.994119,2.4462639999999998
Clean Air,UT_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028737,0.0,0.0,457.29,0.0,17.543468,3.076087
Clean Air,WA_ID_AVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031011,0.0,0.0,0.81294,0.0,3.437913,5.962774
Clean Air,WA_N_CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038798,0.0,0.0,34.449,0.0,4.745832999999999,2.661323
