scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Limited Progress,AZ_APS_E,0.00049393,0.00091951,0.00036524,0.00046086,0.00023442,0.00023168,24.35,0.0001777,0.020482,0.0011106,0.0036121,0.0,0.03792213,0.00609171
Limited Progress,AZ_APS_N,0.00049253,0.00094504,0.00036813,0.0,0.00023539,0.00023275,106.9,0.00017751,0.047937,0.0011359,0.0037012,0.0,0.10111721,0.00392753
Limited Progress,AZ_APS_SW,0.00049673,0.00092993,0.00036764,0.0,0.00023476,0.0002323,53.44,0.00017813,0.019405,0.0011163,0.0041232,0.00022095,0.09027962,0.0016971199999999999
Limited Progress,AZ_NM_N,0.00047929,0.00092995,0.00036622,0.0,0.00023563,0.00023376,181.1,0.00017649,7.8886,0.0011733,0.0030402,0.0,0.06757373,0.00858575
Limited Progress,AZ_NW,0.00048617,0.00091884,0.00036358,0.0,0.00023505,0.00023275,25.106,0.00017758,0.024204,0.0011315,0.0034307,0.0,0.0410467,0.00602866
Limited Progress,AZ_PHX,0.00051161,0.00095714,0.0003738,0.0,0.00023445,0.00023229,1216.4,0.00017923,0.068784,0.0011439,0.043803,0.0,0.0317758,0.0021446
Limited Progress,AZ_SE,0.0005024,0.00094494,0.0003692,0.0,0.0002348,0.00023198,128.75,0.00017829,0.04273,0.0011274,0.004616,0.0,0.04276032,0.01115294
Limited Progress,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018008,0.0,0.0,0.0016579,0.0,0.00579434,0.02193292
Limited Progress,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017113,0.0,0.0,0.00044623,0.0,0.00283068,0.00731848
Limited Progress,CA_IID,0.00047833,0.00090929,0.00036416,0.00048404,0.00022991,0.00022077,324.9,0.00017845,0.3513,0.001187,0.0029531,0.0,0.05181874,0.00081575
Limited Progress,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021422,0.0,0.0,1.7433,0.0,0.00254033,0.0
Limited Progress,CA_PGE_BAY,0.00053578,0.0017503,0.00039434,0.0,0.0,0.0,623.16,0.00019196,1671.8,0.0012608,0.037494,0.0,0.01056838,0.00241413
Limited Progress,CA_PGE_CEN,0.00049393,0.0009714,0.00037156,0.00048706,0.00023184,0.00022257,2148.9,0.00017771,224.4,0.0012384,0.0014535,0.0,0.02462091,0.0
Limited Progress,CA_PGE_N,0.00049432,0.0010138,0.00037549,0.00050583,0.00023397,0.0002227,810.88,0.00017798,11.62,0.0012365,0.0013701,0.0,0.0208358,0.02911264
Limited Progress,CA_PGE_S,0.00050633,0.0010681,0.00038203,0.00051765,0.00023135,0.0002226,162.56,0.00017842,3.4857,0.0012194,0.0018496,0.00021476,0.02348285,0.0
Limited Progress,CA_SCE_CEN,0.0004831,0.00088613,0.00036279,0.0,0.00023174,0.00021908,6268.3,0.00017679,0.33323,0.0011539,0.0025336,0.0,0.12574495,0.1363021
