scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Moderate Action,AZ_APS_E,0.0010235,0.0017598,0.00076064,0.00096897,0.00047355,0.00049368,46.557,0.00036952,0.036602,0.0026724,0.019387,0.0,0.10769346,0.0243788
Moderate Action,AZ_APS_N,0.0010112,0.0018674,0.0007712,0.0,0.0004773,0.00049906,176.81,0.00036821,13.43,0.0028247,0.018606,0.0,0.33145356,0.0184464
Moderate Action,AZ_APS_SW,0.001021,0.0018143,0.00076443,0.0,0.0004739,0.00049601,107.99,0.00036925,0.041759,0.0026979,0.097757,0.00049522,0.53109247,0.00436323
Moderate Action,AZ_NM_N,0.0010136,0.0018008,0.00076471,0.0,0.00047754,0.00049637,197.39,0.00037017,115.97,0.0027657,70.261,0.0,0.17179645,0.034032599999999996
Moderate Action,AZ_NW,0.0010102,0.0018183,0.00076114,0.0,0.00047603,0.00049748,46.646,0.00036902,4.7052,0.0027671,0.036022,0.0,0.17106731,0.0368027
Moderate Action,AZ_PHX,0.0010322,0.0017524,0.00076521,0.0,0.00047046,0.00049499,2312.0,0.00037111,0.10182,0.0027392,227.69,0.0,0.16916064,0.00538823
Moderate Action,AZ_SE,0.0010328,0.0017706,0.00076586,0.0,0.00047363,0.00049455,228.54,0.00036998,0.10197,0.0027152,0.024547,0.0,0.1215576,0.04112488
Moderate Action,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037176,0.0,0.0,3.9825,0.0,0.0146595,0.1195381
Moderate Action,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035921,0.0,0.0,0.0012512,0.0,0.00765449,0.01906072
Moderate Action,CA_IID,0.0010118,0.0018696,0.00077346,0.0010258,0.00046841,0.00047299,1660.0,0.00037229,48.166,0.0030263,0.022185,0.0,0.31540818,0.00517392
Moderate Action,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00061033,0.0,0.0,2367.9,0.0,0.00545673,0.0
Moderate Action,CA_PGE_BAY,0.0010485,0.0020271,0.00079573,0.0,0.0,0.0,2294.9,0.00040984,0.14027,0.0029626,0.59284,0.0,0.080408,0.0069571
Moderate Action,CA_PGE_CEN,0.0010246,0.0019079,0.0007772,0.0010187,0.00046451,0.00047235,4172.4,0.00036871,470.97,0.0029943,0.0064415,0.0,0.10670453,0.0
Moderate Action,CA_PGE_N,0.0010401,0.0020485,0.00079051,0.0010511,0.00046849,0.00047299,1081.4,0.0003707,25.163,0.0029826,0.007488,0.0,0.08545217,0.13954268
