LOAD_AREA,prod_tech1,prod_tech2,prod_tech3,site_count,potential_MW
CA_SMUD,bio_smr,,,0.0,0.0
CA_SMUD,bio_smr,bio_smr_ccs,bio_atr_ccs,44.0,9152.0
CA_SMUD,biomass_gas,,,0.0,0.0
CA_SMUD,coal_gas,,,0.0,0.0
CA_SMUD,coal_gas,coal_gas_ccs,,6.0,1710.0
CA_SMUD,gas_smr,gas_smr_ccs,gas_atr_ccs,7.0,1456.0
CA_SDGE,bio_smr,,,0.0,0.0
CA_SDGE,bio_smr,bio_smr_ccs,bio_atr_ccs,135.0,28080.0
CA_SDGE,biomass_gas,,,0.0,0.0
CA_SDGE,coal_gas,,,57.0,16245.0
CA_SDGE,coal_gas,coal_gas_ccs,,9.0,2565.0
CA_SDGE,gas_smr,gas_smr_ccs,gas_atr_ccs,3.0,624.0
CA_IID,bio_smr,,,26.0,5408.0
CA_IID,bio_smr,bio_smr_ccs,bio_atr_ccs,860.0,178880.0
CA_IID,biomass_gas,,,109.0,7194.0
CA_IID,coal_gas,,,0.0,0.0
CA_IID,coal_gas,coal_gas_ccs,,509.0,145065.0
CA_IID,gas_smr,gas_smr_ccs,gas_atr_ccs,315.0,65520.0
CA_LADWP,bio_smr,,,0.0,0.0
CA_LADWP,bio_smr,bio_smr_ccs,bio_atr_ccs,0.0,0.0
CA_LADWP,biomass_gas,,,0.0,0.0
CA_LADWP,coal_gas,,,0.0,0.0
CA_LADWP,coal_gas,coal_gas_ccs,,0.0,0.0
CA_LADWP,gas_smr,gas_smr_ccs,gas_atr_ccs,0.0,0.0
NV_S,bio_smr,,,279.0,58032.0
NV_S,bio_smr,bio_smr_ccs,bio_atr_ccs,321.0,66768.0
NV_S,biomass_gas,,,0.0,0.0
NV_S,coal_gas,,,26.0,7410.0
NV_S,coal_gas,coal_gas_ccs,,393.0,112005.0
NV_S,gas_smr,gas_smr_ccs,gas_atr_ccs,1139.0,236912.0
ID_E,bio_smr,,,309.0,64272.0
ID_E,bio_smr,bio_smr_ccs,bio_atr_ccs,198.0,41184.0
ID_E,biomass_gas,,,19.0,1254.0
ID_E,coal_gas,,,538.0,153330.0
ID_E,coal_gas,coal_gas_ccs,,183.0,52155.0
ID_E,gas_smr,gas_smr_ccs,gas_atr_ccs,566.0,117728.0
MT_NW,bio_smr,,,0.0,0.0
MT_NW,bio_smr,bio_smr_ccs,bio_atr_ccs,105.0,21840.0
MT_NW,biomass_gas,,,6.0,396.0
MT_NW,coal_gas,,,3.0,855.0
MT_NW,coal_gas,coal_gas_ccs,,1.0,285.0
