scenario,gen_load_zone,Battery_Storage,Bio_Gas_Combustion_Turbine,Bio_Gas_Combustion_Turbine_Cogen,Bio_Gas_Internal_Combustion_Engine,Bio_Gas_Internal_Combustion_Engine_Cogen,Bio_Gas_Steam_Turbine,Bio_Liquid_Steam_Turbine_Cogen,Bio_Solid_Steam_Turbine,Bio_Solid_Steam_Turbine_Cogen,Bio_post_ccs,CCGT,CCGT_Cogen,Central_PV,Coal_IGCC,Coal_Steam_Turbine,Coal_Steam_Turbine_Cogen,Commercial_PV,DistillateFuelOil_Internal_Combustion_Engine,DistillateFuelOil_Internal_Combustion_Engine_Cogen,Gas_Combustion_Turbine,Gas_Combustion_Turbine_Cogen,Gas_Internal_Combustion_Engine,Gas_Internal_Combustion_Engine_Cogen,Gas_Steam_Turbine,Gas_Steam_Turbine_Cogen,Geothermal,IGCC_pre_ccs_90,NGCC_post_ccs_95,Nuclear,Residential_PV,Wind
Bussiness as Usual,AZ_APS_E,0.012436,0.0,0.0,0.0,0.0,0.0,0.0,0.00094635,0.0,0.0,403.5,0.0,974.7540441,0.00046285,0.0034382,0.0,0.026278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027236,0.0017217,0.0,0.00953208,150.177635
Bussiness as Usual,AZ_APS_N,0.012346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.76,0.0,199.1099807,0.00046029,0.0,0.0,0.0043327999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026061,0.0016876,0.0,0.0022096,0.8038860000000001
Bussiness as Usual,AZ_APS_SW,0.013042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953.63816,0.0,20716.9245984,0.00047731,0.0,0.0,0.0171709,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027929,0.0017836,0.00061536,0.01167057,0.0209707999999999
Bussiness as Usual,AZ_NM_N,0.011803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.387433,0.0,376.2496518,0.0,0.0,0.0,0.0042882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016307,0.0,0.00543791,0.5281788
Bussiness as Usual,AZ_NW,0.012669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.5848619999999,0.0,3214.1943559,0.0,0.0,0.0,0.0090595,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014728,0.0,0.0010506,0.1174454
Bussiness as Usual,AZ_PHX,0.013163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19425.19942,9.2,4340.304425,0.0004734,0.0,0.0,0.0111419999999999,0.0,0.0,520.0,7.8999,0.0,0.0,0.0,0.0,0.0,0.00025235,0.0015333,0.0,0.0010186,0.0374887
Bussiness as Usual,AZ_SE,0.012962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6529.132988,14.5,305.0522045,0.00047447,0.0,0.0,0.0,0.0,0.0,1635.6,0.0,0.0013481,0.00167,0.0,0.0,0.0,0.00025022,0.0015066,0.0,0.0,600.2461585
Bussiness as Usual,CAN_ALB,2210.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12797.235722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042483,32840.838301
Bussiness as Usual,CAN_BC,0.0048694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,0.0,0.0,0.0,0.0,6710.9429223
Bussiness as Usual,CA_IID,0.01225,0.0,0.0,0.0,0.0,0.0,0.0,0.0026452,0.0,0.0,1935.737085,0.0,6478.441328,0.0,0.0,0.0,0.0047595999999999,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,2616.7000000000003,0.0,0.0017547,0.0,0.0033083,0.0151365
Bussiness as Usual,CA_LADWP,0.01312,0.0,0.0,0.0018511,0.0,0.0,0.0,0.0,0.0,0.0,0.370876,19.7996,0.0,0.0,0.0,0.0,0.0214247,0.0,0.0,576.8,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101366,0.0
Bussiness as Usual,CA_PGE_BAY,0.0087189,5.9999,0.0,0.0044468,0.0018607,0.0,0.0,0.0,0.0,0.0,7809.320743,347.031349,552.4061146,0.0,0.0,0.0,0.0,0.0117426,0.0,1209.6,3.4999,0.0011121,0.0076109,0.0,0.0,0.0,0.0,0.0017105,0.0,0.0,0.0318868
Bussiness as Usual,CA_PGE_CEN,0.0088898,0.0,0.0,0.0,0.003631,0.0,0.0,0.00632449,45.997,0.0,5368.881052000001,0.0,5288.542158,0.0,0.0,0.0,0.0211925,0.0012187,0.001269,1213.7,63.599900000000005,0.0031028,0.0,0.0,0.0,0.0,0.0,0.0017952,0.0,0.0059115999999999,0.0
Bussiness as Usual,CA_PGE_N,0.0086338,0.0,0.0,0.0116724,0.0,0.0,0.0,0.01148612,39.2026982,0.0,0.368788,0.0,9290.723198,0.0,0.0,0.0,0.0024874,0.0020995,0.0,416.6,51.8999,0.0045074,0.0045317,0.0,0.0,1914.299,0.0,0.0017237,0.0,0.0036173999999999,511.6395453
Bussiness as Usual,CA_PGE_S,0.010292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035345,0.0,2754.3012,0.02167,5586.509422,0.0,0.0,0.0,0.0368425,0.0,0.0,196.0996,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0018502,0.00061228,0.0093008,0.0
Bussiness as Usual,CA_SCE_CEN,0.011906,0.0,0.0,0.0,0.0017262,0.0,0.0,0.0,0.0,0.0,30081.027948,0.0,35728.749065,0.0,0.0,0.0,0.02567,0.0023361,0.0,49.8,16.4,0.0014372,0.0044688,0.0,0.0,421.2,0.0,0.0019134,0.0,0.01375248,2614.0307434
Bussiness as Usual,CA_SCE_S,0.01374,0.0,0.0,0.0,0.0038661,0.00137665,0.0,0.0,0.019643,0.0,1382.3961,176.29500000000002,1710.703323,0.0,0.0,0.0,0.0,0.0013144,0.0,3237.59967,15.49977,0.0014722,0.0182803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.043263
Bussiness as Usual,CA_SCE_SE,0.011556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127906,0.0,972.2114018,0.0,0.0,0.0,0.0024538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016691,0.0,0.0,0.0
Bussiness as Usual,CA_SCE_VLY,0.0093518,0.0,0.0,0.0017036,0.0,0.0,0.0,0.0071277,0.0,0.0,1352.9,0.0,1046.728618,0.0,0.0,0.0,0.0284605,0.0,0.0,63.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.0,0.0079125,0.0
Bussiness as Usual,CA_SDGE,0.012225,2.9999,0.0,0.0,0.0038335,0.0,0.0,0.0,0.0,0.0,10563.117256,47.299,0.082036,0.0,0.0,0.0,0.0094183,0.0024814,0.0,1698.0,28.3993,0.0013852,0.0014316,0.0,0.0,0.0,0.0,0.0019292,0.0,0.0066248,0.0663166
Bussiness as Usual,CA_SMUD,0.0088937,0.0,0.0,0.0017045,0.0,0.0,0.0,0.0,0.0,0.0,3706.12013,0.074727,0.08355,0.0,0.0,0.0,0.0,0.0012243,0.0,44.0,54.0,0.0,0.0,0.0,0.00061985,0.0,0.0,0.0017351,0.0,0.0,0.0
Bussiness as Usual,CO_DEN,0.0098246,0.0,6.9999,0.0,0.0018666,0.0,0.0,0.0,0.0,0.0,0.1363504,0.0,0.089425,0.0,0.0,0.0,0.0094397,0.0,0.0,1901.597,0.0,0.0029685,0.0,0.0,0.0,0.0,0.0,0.0014868,0.0,0.0043303,2362.2449725
Bussiness as Usual,CO_E,0.010132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.3414648,0.0,0.0669435,0.00041353,0.0014155,0.0,0.0442149,0.0046911999999999,0.0,997.799,0.0,0.0,0.0,0.0,0.0,0.0,0.00025321,0.0015061,0.0,0.0174456,1560.7502187
Bussiness as Usual,CO_NW,0.010278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077093,0.0,246.562708,0.00041814,0.0,0.0,0.0087087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025451,0.0015211,0.0,0.00739089,1440.6347216
