scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Bussiness as Usual,AZ_APS_E,0.0,3.3914,0.0,1.5844,0.79033,0.0,0.0,0.40259,7.0484,0.0,1.7272,0.0,28.50743,5.28876
Bussiness as Usual,AZ_APS_N,0.0,3.6644,0.0,0.0,0.80602,0.0,0.0,0.40082,8.4548,0.0,1.8118,0.0,64.42717,3.76342
Bussiness as Usual,AZ_APS_SW,0.0,3.9435,0.0,0.0,0.84472,0.0,0.0,0.4052,10.587,0.0,1.5887,0.44255,46.34888,3.02723
Bussiness as Usual,AZ_NM_N,0.0,3.4828,0.0,0.0,0.75052,0.0,0.0,0.39887,7.2265,0.0,2.2488,0.0,43.79626,9.98344
Bussiness as Usual,AZ_NW,0.0,3.737,0.0,0.0,0.80694,0.0,0.0,0.40459,9.9979,0.0,1.7711,0.0,25.1682,9.73738
Bussiness as Usual,AZ_PHX,0.0,3.5813,0.0,0.0,0.8097,0.0,0.0,0.40355,8.3276,0.0,1.4618,0.0,15.615920000000001,4.09694
Bussiness as Usual,AZ_SE,0.0,3.5797,0.0,0.0,0.79808,0.0,0.0,0.40589,7.7996,0.0,1.6495,0.0,22.84424,16.75827
Bussiness as Usual,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45782,0.0,0.0,0.97013,0.0,7.06029,19.33332
Bussiness as Usual,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40792,0.0,0.0,0.78355,0.0,4.99241,13.01318
Bussiness as Usual,CA_IID,0.0,4.2562,0.0,1.603,0.81621,0.0,0.0,0.40977,17.796,0.0,1.4626,0.0,26.63929,1.48382
Bussiness as Usual,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41602,0.0,0.0,1.4671,0.0,4.46912,0.0
Bussiness as Usual,CA_PGE_BAY,0.0,5.5715,0.0,0.0,0.0,0.0,0.0,0.4056,1730.9,0.0,1.6114,0.0,8.75453,4.33555
Bussiness as Usual,CA_PGE_CEN,0.0,4.5987,0.0,2.8382,0.86711,0.0,0.0,0.39366,17.942,0.0,1.2631,0.0,25.33201,0.0
