scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Clean Air,AZ_APS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.048,0.0,0.0,79.647,0.0,161.27806999999999,10.2972
Clean Air,AZ_APS_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.95,0.0,0.0,125.86,0.0,309.59739,13.1259
Clean Air,AZ_APS_SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.749,0.0,0.0,569.03,3.6315,1052.67561,6.98546
Clean Air,AZ_NM_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.986,0.0,0.0,763.44,0.0,235.86148,18.3808
Clean Air,AZ_NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.403,0.0,0.0,78.958,0.0,164.785,24.4604
Clean Air,AZ_PHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.23,0.0,0.0,2454.9,0.0,835.3961,7.369870000000001
Clean Air,AZ_SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.318,0.0,0.0,282.72,0.0,454.6999,35.37062
Clean Air,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.262,0.0,0.0,52.501,0.0,16.3465,103.8815
Clean Air,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8599,0.0,0.0,2.2682,0.0,11.30612,28.54306
Clean Air,CA_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.86,0.0,0.0,6516.2,0.0,1566.55148,2.84033
Clean Air,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5099.0,0.0,0.0,7280.9,0.0,9.80163,0.0
Clean Air,CA_PGE_BAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4641.0,0.0,0.0,4602.1,0.0,100.2408,12.9513
Clean Air,CA_PGE_CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.82,0.0,0.0,14.526,0.0,131.11297,0.0
Clean Air,CA_PGE_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.75,0.0,0.0,656.68,0.0,194.15793,99.4498
