scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Clean Air,AZ_APS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3615190982864154,0.0,0.0,0.536372685307994,0.0,0.3704357868732009,0.3182988485797391
Clean Air,AZ_APS_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546270934052851,0.0,0.0,0.4612621239672884,0.0,0.3652437941353254,0.4125202965380389
Clean Air,AZ_APS_SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3554698223124549,0.0,0.0,0.5273007338822355,0.486656945793969,0.3940820669708049,0.2238313820213281
Clean Air,AZ_NM_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3584366251511102,0.0,0.0,0.5607917268132825,0.0,0.3481963151260606,0.2527526447896076
Clean Air,AZ_NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354605308499706,0.0,0.0,0.4239217984306208,0.0,0.3900820317402831,0.2834381697507112
Clean Air,AZ_PHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3172518589195235,0.0,0.0,0.4577821573565965,0.0,0.4008692582789304,0.1924569176294235
Clean Air,AZ_SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3581479897255861,0.0,0.0,0.4990324581122484,0.0,0.3952355748829644,0.2930440182942157
Clean Air,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365190986921356,0.0,0.0,0.5041598798159723,0.0,0.2794508362408725,0.4354281334201942
Clean Air,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3699713111050872,0.0,0.0,0.3617829172212651,0.0,0.2266140975935408,0.3066931710723619
Clean Air,CA_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3396719451030411,0.0,0.0,0.4605031600454984,0.0,0.4395433567241615,0.29228390180247
Clean Air,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2963797417970188,0.0,0.0,0.4484701226897387,0.0,0.1954466378298391,0.0
Clean Air,CA_PGE_BAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2800283864766282,0.0,0.0,0.481454102644237,0.0,0.4168674697184129,0.415821253781002
Clean Air,CA_PGE_CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3437982418952637,0.0,0.0,0.4681982212307916,0.0,0.3654873201883352,0.0
Clean Air,CA_PGE_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3305716350775339,0.0,0.0,0.4243190868899388,0.0,0.385021688293121,0.4001487324099355
Clean Air,CA_PGE_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3284117683043079,0.0,0.0,0.4587235160058186,0.5385638898240346,0.421161136605124,0.0
Clean Air,CA_SCE_CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3315434653626327,0.0,0.0,0.5086809655367046,0.0,0.405893323688098,0.4305265618940896
Clean Air,CA_SCE_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378408080815278,0.0,0.0,0.4569913004454518,0.0,0.342844110952685,0.3939703084474933
Clean Air,CA_SCE_SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3452178145889354,0.0,0.0,0.5090272912198313,0.0,0.3760076873900438,0.0
Clean Air,CA_SCE_VLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3511918366871656,0.0,0.0,0.4978765086161867,0.0,0.3634607483902585,0.0
Clean Air,CA_SDGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3447020644695063,0.0,0.0,0.5211713428242588,0.0,0.3766369675477827,0.2486790427762836
Clean Air,CA_SMUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3194589078918142,0.0,0.0,0.435891616780655,0.0,0.4064361368309854,0.0
Clean Air,CO_DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3074311275696157,0.0,0.0,0.6403699927876814,0.0,0.3076425731237326,0.3690649401873921
Clean Air,CO_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466564187405941,0.0,0.0,0.6216205396984255,0.0,0.2578346834177037,0.4902416145338756
Clean Air,CO_NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3537949014476378,0.0,0.0,0.6301657470401075,0.0,0.3042115420772687,0.3869944865080877
Clean Air,CO_SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3579496007663961,0.0,0.0,0.5057426052808873,0.0,0.311333191181796,0.3947658465970938
Clean Air,ID_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3611249167429969,0.0,0.0,0.5830747112630732,0.0,0.3750415957124283,0.3960966563686088
Clean Air,ID_S_OR_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3616296737938292,0.0,0.0,0.5240518129198952,0.0,0.4323375573735951,0.3505195734449732
Clean Air,MEX_BAJA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358427562021312,0.0,0.0,0.471650537972088,0.0,0.3802502223783534,0.1449321836606087
Clean Air,MT_NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3681761443797663,0.0,0.0,0.5078893962128045,0.0,0.2751290168404138,0.4323481641503929
Clean Air,MT_NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375637684447094,0.0,0.0,0.49624052083955,0.0,0.3195448272171533,0.2895798624355936
Clean Air,MT_SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3504449135679192,0.0,0.0,0.5973264844543646,0.0,0.2864502390409219,0.3833134358573362
Clean Air,MT_SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3682043777390493,0.0,0.0,0.5155657074861456,0.0,0.3311949671964447,0.4502468110342182
Clean Air,NM_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3578639524466384,0.0,0.0,0.6140465430143907,0.0,0.3266099068825817,0.5545163565434881
Clean Air,NM_S_TX_EPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3127166945657943,0.0,0.0,0.5870926360209057,0.0,0.3924807239936355,0.5512176336703264
Clean Air,NV_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534214894048113,0.0,0.0,0.4756308801028009,0.0,0.4144161510055276,0.3981242721654631
Clean Air,NV_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3345451227416944,0.0,0.0,0.4303534614563927,0.0,0.4028111946163214,0.3052594489173525
Clean Air,OR_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3652339790244553,0.0,0.0,0.4457834843186695,0.0,0.3592851636485851,0.3731722707055332
Clean Air,OR_PDX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3012057655915942,0.0,0.0,0.4827969324136713,0.0,0.3131690037218584,0.3758941417706801
Clean Air,OR_W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3445751142914409,0.0,0.0,0.4518489650112253,0.0,0.3796925519829278,0.3231810745663223
Clean Air,OR_WA_BPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3594064852580615,0.0,0.0,0.5011884923875569,0.5291357205559529,0.368724305369344,0.3679448112770398
Clean Air,UT_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3267859614433023,0.0,0.0,0.6427233530241283,0.0,0.3550864900885236,0.2716277977897422
Clean Air,UT_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3578900926184046,0.0,0.0,0.5384319168292145,0.0,0.3669482557347168,0.4090415528445181
Clean Air,WA_ID_AVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3686482275047623,0.0,0.0,0.489261133029926,0.0,0.310650399163391,0.2856760686220901
Clean Air,WA_N_CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3653487635403584,0.0,0.0,0.4572003897636756,0.0,0.3770513883067286,0.3806137927532735
Clean Air,WA_SEATAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3056410666735988,0.0,0.0,0.5219738574941502,0.0,0.0,0.1513522565402996
