load_zone,coal_gas,coal_gas_ccs,biomass_gas,gas_smr,gas_smr_ccs,gas_atr_ccs,bio_smr,bio_smr_ccs,bio_atr_ccs
AZ_APS_E,0,0,,48.69949163,,,,50,50
AZ_APS_N,,,,196.0341543,,,,,
AZ_APS_SW,,,,111.7776636,,,,,
AZ_NM_N,,,,300.131936,,,,,
AZ_NW,,,,52.03569893,,,,,
AZ_PHX,,,,2433.74598,,,,,
AZ_SE,,,,242.938482,,,,,
CA_IID,,,,77.87218079,,,,,
CA_LADWP,,,,0,,,,,
CA_PGE_BAY,,,,2295,,,,,
CA_PGE_CEN,,,,645.1967337,,,,,
CA_PGE_N,,,,1106.841789,,,,,
CA_PGE_S,,,,292.8375393,,,,,
CA_SCE_CEN,,,,852.3224635,,,,,
CA_SCE_S,,,,2712,,,,,
CA_SCE_SE,,,,19.94785048,,,,,
CA_SCE_VLY,,,,67.48781695,,,,,
CA_SDGE,,,,600.3441304,,,,,
CA_SMUD,,,,200.3871022,,,,,
CO_DEN,,,,2745.336169,,,,,
CO_E,,,,325.1441457,,,,,
CO_NW,,,,113.8598309,,,,,
CO_SW,,,,125.6664245,,,,,
ID_E,,,,234.2659694,,,,,
ID_S_OR_E,,,,515.8230442,,,,,
MT_NE,,,,107.1542999,,,,,
MT_NW,,,,72.68557472,,,,,
MT_SE,,,,636.0215639,,,,,
MT_SW,,,,249.2500224,,,,,
NM_N,,,,544.6815799,,,,,
NM_S_TX_EPE,,,,8099.859334,,,,,
NV_N,,,,200.1952148,,,,,
NV_S,,,,2204.096262,,,,,
OR_E,,,,57.85947575,,,,,
OR_PDX,,,,0,,,,,
OR_W,,,,307.6975859,,,,,
OR_WA_BPA,,,,177.2640129,,,,,
UT_N,,,,2135.290563,,,,,
UT_S,,,,192.602794,,,,,
WA_ID_AVA,,,,192.5461292,,,,,
WA_N_CEN,,,,96.05072578,,,,,
WA_SEATAC,,,,0,,,,,
WA_W,,,,1621.298033,,,,,
WY_NE,,,,189.7484762,,,,,
WY_NW,,,,26.67642148,,,,,
WY_SE,,,,537.4643217,,,,,
WY_SW,,,,75.34898437,,,,,
