scenario,gen_load_zone,Battery_Storage,Bio_Gas_Combustion_Turbine,Bio_Gas_Combustion_Turbine_Cogen,Bio_Gas_Internal_Combustion_Engine,Bio_Gas_Internal_Combustion_Engine_Cogen,Bio_Gas_Steam_Turbine,Bio_Liquid_Steam_Turbine_Cogen,Bio_Solid_Steam_Turbine,Bio_Solid_Steam_Turbine_Cogen,Bio_post_ccs,CCGT,CCGT_Cogen,Central_PV,Coal_IGCC,Coal_Steam_Turbine,Coal_Steam_Turbine_Cogen,Commercial_PV,DistillateFuelOil_Internal_Combustion_Engine,DistillateFuelOil_Internal_Combustion_Engine_Cogen,Gas_Combustion_Turbine,Gas_Combustion_Turbine_Cogen,Gas_Internal_Combustion_Engine,Gas_Internal_Combustion_Engine_Cogen,Gas_Steam_Turbine,Gas_Steam_Turbine_Cogen,Geothermal,IGCC_pre_ccs_90,NGCC_post_ccs_95,Nuclear,Residential_PV,Wind
Limited Progress,AZ_APS_E,1.3098,0.0,0.0,0.0,0.0,0.0,0.0,0.054614,0.0,0.0,453.27,0.0,1105.81735,0.035678,0.18476,0.0,2.29943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028057,0.29079,0.0,0.839516,328.08299999999997
Limited Progress,AZ_APS_N,1.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.44,0.0,433.69396,0.03578,0.0,0.0,0.36366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027063,0.30441,0.0,0.19936199999999998,3035.6009
Limited Progress,AZ_APS_SW,1.4092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.2106,0.0,20630.0525,0.035873,0.0,0.0,1.48767,0.0,0.0,120.96,0.0,0.0,0.0,0.0,0.0,0.0,0.030011,0.38925,0.082381,1.058166,2.02314
Limited Progress,AZ_NM_N,1.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.8004,0.0,524.59768,0.0,0.0,0.0,0.37006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21282,0.0,0.490689,108.02403
Limited Progress,AZ_NW,1.3562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.8308999999999,0.0,3221.71758,0.0,0.0,0.0,0.7931900000000001,0.0,0.0,120.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17819,0.0,0.08817,17.15082
Limited Progress,AZ_PHX,1.4326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19402.7154,9.1952,4538.3808,0.035945,0.0,0.0,1.00488,0.0,0.0,519.87,7.8848,0.0,0.0,0.0,0.0,0.0,0.026878,0.25171,0.0,0.0928,3.9388199999999998
Limited Progress,AZ_SE,1.3943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6504.4569,14.492799999999999,421.68412,0.035899,0.0,0.0,0.0,0.0,0.0,1635.022,0.0,0.10182,0.14429,0.0,0.0,0.0,0.026112,0.21674,0.0,0.0,710.5756799999999
Limited Progress,CAN_ALB,2240.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13356.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39558,35142.6662
Limited Progress,CAN_BC,0.42142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.9350000000001,0.0,0.0,0.0,0.0,8422.13791
Limited Progress,CA_IID,1.3079,0.0,0.0,0.0,0.0,0.0,0.0,0.125246,0.0,0.0,3033.0355,0.0,6790.94791,0.0,0.0,0.0,0.42435999999999996,0.0,0.0,120.95,0.0,0.0,0.0,0.0,0.0,2616.463,0.0,0.28237,0.0,0.306,2.05475
