scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Limited Progress,AZ_APS_E,0.11324,0.24245,0.084378,0.10393,0.051201,0.051541,17.475,0.043102,15.404,0.26275,2.042,0.0,6.843151,1.21061
Limited Progress,AZ_APS_N,0.11213,0.23728,0.084654,0.0,0.051216,0.051524,83.207,0.042972,56.736,0.26607,1.3658,0.0,16.526161,1.001779
Limited Progress,AZ_APS_SW,0.11317,0.23364,0.085696,0.0,0.051383,0.052266,33.946,0.043396,44.689,0.27631,1.031,0.052518,14.13728,0.356541
Limited Progress,AZ_NM_N,0.11322,0.24506,0.084563,0.0,0.05134,0.05146,147.49,0.042947,75.189,0.27092,1.6643,0.0,11.455633,1.694771
Limited Progress,AZ_NW,0.10618,0.21885,0.079595,0.0,0.051099,0.051754,16.425,0.043213,20.482,0.26784,1.6114,0.0,6.772868,1.304604
Limited Progress,AZ_PHX,0.11518,0.24692,0.085772,0.0,0.051201,0.052432,1086.7,0.043612,218.71,0.29752,210.42,0.0,6.029153,0.471115
Limited Progress,AZ_SE,0.11604,0.25237,0.086201,0.0,0.051254,0.051997,100.1,0.043256,78.083,0.27423,8.9561,0.0,7.83209,2.303815
Limited Progress,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046093,0.0,0.0,0.19984,0.0,1.006828,3.26988
Limited Progress,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041863,0.0,0.0,0.09226,0.0,0.577128,1.500156
Limited Progress,CA_IID,0.11154,0.22826,0.08435,0.10418,0.052475,0.050497,337.5,0.045157,476.25,0.31681,0.85314,0.0,8.47723,0.178315
Limited Progress,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081422,0.0,0.0,2130.4,0.0,0.614311,0.0
Limited Progress,CA_PGE_BAY,0.14339,0.70805,0.10052,0.0,0.0,0.0,2282.0,0.056126,12.275,0.37033,336.19,0.0,2.28816,0.504303
Limited Progress,CA_PGE_CEN,0.11872,0.2652,0.088828,0.11131,0.052371,0.050772,1822.0,0.043616,1016.2,0.32207,0.35296,0.0,4.664852,0.0
Limited Progress,CA_PGE_N,0.12613,0.3162,0.093261,0.11916,0.054538,0.050606,693.35,0.04454,341.32,0.31109,0.41104,0.0,4.175748,5.87135
Limited Progress,CA_PGE_S,0.11543,0.24932,0.086645,0.11055,0.050349,0.05015,112.53,0.043601,136.61,0.28769,0.45331,0.053273,4.462591,0.0
Limited Progress,CA_SCE_CEN,0.11205,0.22799,0.086056,0.0,0.056109,0.050105,5355.6,0.043172,334.46,0.3301,0.67296,0.0,23.812565,21.37068
Limited Progress,CA_SCE_S,0.12492,0.32093,0.092972,0.0,0.058553,0.055312,2583.3,0.048112,127.77,0.36523,122.14,0.0,14.09919,2.25312
Limited Progress,CA_SCE_SE,0.11168,0.22651,0.084605,0.0,0.050785,0.050216,6.4243,0.044273,9.6511,0.30257,0.73949,0.0,11.404107,0.0
Limited Progress,CA_SCE_VLY,0.11151,0.23169,0.083917,0.10681,0.049931,0.047969,20.737,0.04255,34.849,0.26863,0.29905,0.0,0.978816,0.0
Limited Progress,CA_SDGE,0.1168,0.26549,0.087374,0.0,0.051263,0.051004,324.76,0.045979,300.24,0.28394,19.474,0.0,0.855279,1.110896
Limited Progress,CA_SMUD,0.11649,0.26521,0.086415,0.0,0.049818,0.049774,91.498,0.043768,70.438,0.27651,0.33741,0.0,0.46163,0.0
Limited Progress,CO_DEN,0.10656,0.18925,0.082504,0.0,0.0502,0.050866,1240.9,0.042204,251.52,0.2822,185.35,0.0,0.914647,11.873675
Limited Progress,CO_E,0.10605,0.19405,0.081831,0.0,0.049956,0.050019,119.25,0.041813,74.918,0.25765,54.246,0.0,1.515022,11.27091
Limited Progress,CO_NW,0.1051,0.19383,0.080974,0.10138,0.049824,0.049756,37.799,0.041696,34.053,0.24697,0.96711,0.0,2.095425,10.031436
Limited Progress,CO_SW,0.10799,0.21308,0.08208,0.0,0.053209,0.049262,49.305,0.041552,34.807,0.23716,16.586,0.0,4.3955,7.759397
Limited Progress,ID_E,0.10973,0.22253,0.082756,0.11022,0.052194,0.050109,100.81,0.041846,73.442,0.24703,0.59044,0.0,1.2258339999999999,3.566943
