scenario,gen_load_zone,Battery_Storage,Bio_Gas_Combustion_Turbine,Bio_Gas_Combustion_Turbine_Cogen,Bio_Gas_Internal_Combustion_Engine,Bio_Gas_Internal_Combustion_Engine_Cogen,Bio_Gas_Steam_Turbine,Bio_Liquid_Steam_Turbine_Cogen,Bio_Solid_Steam_Turbine,Bio_Solid_Steam_Turbine_Cogen,Bio_post_ccs,CCGT,CCGT_Cogen,Central_PV,Coal_IGCC,Coal_Steam_Turbine,Coal_Steam_Turbine_Cogen,Commercial_PV,DistillateFuelOil_Internal_Combustion_Engine,DistillateFuelOil_Internal_Combustion_Engine_Cogen,Gas_Combustion_Turbine,Gas_Combustion_Turbine_Cogen,Gas_Internal_Combustion_Engine,Gas_Internal_Combustion_Engine_Cogen,Gas_Steam_Turbine,Gas_Steam_Turbine_Cogen,Geothermal,IGCC_pre_ccs_90,NGCC_post_ccs_95,Nuclear,Residential_PV,Wind
Moderate Action,AZ_APS_E,71.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040839,531.31,0.0,1051.5125,0.062699,0.25878,0.0,5.73332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061912,6.4705,0.0,1.97078,329.912
Moderate Action,AZ_APS_N,50.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.55,0.0,684.1847,0.062375,0.0,0.0,0.91411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060281,2.5134,0.0,0.4658,3119.39
Moderate Action,AZ_APS_SW,1357.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.94250000000002,0.0,20605.286,0.062993,0.0,0.0,3.66964,0.0,0.0,120.92,0.0,0.0,0.0,0.0,0.0,0.0,0.064904,29.171,0.32347,2.45508,32.52677
Moderate Action,AZ_NM_N,9.7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1766,0.0,377.5269,0.0,0.0,0.0,0.91642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5821,0.0,1.1204,382.8421
Moderate Action,AZ_NW,761.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6335,0.0,2726.2905,0.0,0.0,0.0,1.90135,0.0,0.0,120.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72581,0.0,0.2062,3521.9254
Moderate Action,AZ_PHX,5932.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.0422,9.1923,8150.3032,0.063086,0.0,0.0,2.51845,0.0,0.0,519.67,7.8712,0.0,0.0,0.0,0.0,0.0,0.05809,1.2317,0.0,0.2131,76.63719999999999
Moderate Action,AZ_SE,373.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5866.4379,14.4883,199.2728,0.063121,0.0,0.0,0.0,0.0,0.0,1634.1,0.0,0.21335,0.28507,0.0,0.0,0.0,0.056859,0.93774,0.0,0.0,2322.30438
Moderate Action,CAN_ALB,7375.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23060.948500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93806,45464.5489
Moderate Action,CAN_BC,1.6943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.926,0.0,0.0,0.0,0.0,9625.0633
Moderate Action,CA_IID,356.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100342,67.37079999999999,0.0,8063.2224,0.0,0.0,0.0,1.02926,0.0,0.0,120.92,0.0,0.0,0.0,0.0,0.0,2616.463,0.0,9.1584,0.0,0.7053,32.61971
