scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Moderate Action,AZ_APS_E,0.25637,0.45936,0.19553,0.22258,0.11019,0.12543,38.817,0.10413,19.805,0.7739,2.2501,0.0,18.43745,2.75975
Moderate Action,AZ_APS_N,0.25673,0.45937,0.19638,0.0,0.1103,0.1248,164.71,0.10388,72.426,0.7883,2.0492,0.0,45.21213,2.38338
Moderate Action,AZ_APS_SW,0.25979,0.46267,0.20007,0.0,0.11056,0.12664,98.869,0.10523,62.863,0.81332,2.6701,0.13802,49.906802,1.00957
Moderate Action,AZ_NM_N,0.25785,0.46578,0.19552,0.0,0.11031,0.12482,275.94,0.10418,62.659,0.79961,12.31,0.0,28.15158,5.22834
Moderate Action,AZ_NW,0.24646,0.43211,0.18615,0.0,0.10993,0.12526,40.615,0.10452,27.505,0.79,2.762,0.0,20.94666,5.6608
Moderate Action,AZ_PHX,0.25923,0.46127,0.19801,0.0,0.10999,0.12893,2382.4,0.10713,180.54,0.93791,498.33,0.0,28.62791,1.23336
Moderate Action,AZ_SE,0.26029,0.47008,0.19889,0.0,0.11027,0.12638,226.05,0.10443,101.21,0.81081,4.5078,0.0,21.4676,6.76513
Moderate Action,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11706,0.0,0.0,0.64201,0.0,2.51135,9.717130000000001
Moderate Action,CAN_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10319,0.0,0.0,0.24468,0.0,1.52004,3.85639
Moderate Action,CA_IID,0.26049,0.47287,0.19882,0.22429,0.11286,0.12335,1925.8,0.11099,554.74,1.0739,2.6759,0.0,33.2062,0.49286800000000003
Moderate Action,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47316,0.0,0.0,4659.9,0.0,1.5875599999999999,0.0
