load_zone,coal_gas,coal_gas_ccs,biomass_gas,gas_smr,gas_smr_ccs,bio_smr,bio_smr_ccs,gas_atr_ccs,bio_atr_ccs
AZ_APS_E,0,0,0,122.7977067,0,0,0,0,0
AZ_APS_N,,,,206.4764441,,,,,
AZ_APS_SW,,,,267.2142923,,,,,
AZ_NM_N,,,,160.6149667,,,,,
AZ_NW,,,,103.5739997,,,,,
AZ_PHX,,,,564.2759691,,,,,
AZ_SE,,,,328.3262927,,,,,
CA_IID,,,,180.6652323,,,,,
CA_LADWP,,,,297.5324142,,,,,
CA_PGE_BAY,,,,622.971965,,,,,
CA_PGE_CEN,,,,909.6562864,,,,,
CA_PGE_N,,,,794.9582318,,,,,
CA_PGE_S,,,,434.0173384,,,,,
CA_SCE_CEN,,,,857.8531952,,,,,
CA_SCE_S,,,,1384.08473,,,,,
CA_SCE_SE,,,,47.14570693,,,,,
CA_SCE_VLY,,,,136.5908237,,,,,
CA_SDGE,,,,351.59065,,,,,
CA_SMUD,,,,207.3184141,,,,,
CO_DEN,,,,578.8956871,,,,,
CO_E,,,,380.9326344,,,,,
CO_NW,,,,184.1399995,,,,,
CO_SW,,,,92.56737856,,,,,
ID_E,,,,218.2956982,,,,,
ID_S_OR_E,,,,532.7240217,,,,,
MT_NE,,,,92.36690788,,,,,
MT_NW,,,,100.6861152,,,,,
MT_SE,,,,125.8599113,,,,,
MT_SW,,,,192.4617354,,,,,
NM_N,,,,744.7850345,,,,,
NM_S_TX_EPE,,,,554.182765,,,,,
NV_N,,,,305.4379766,,,,,
NV_S,,,,417.9253737,,,,,
OR_E,,,,121.6274618,,,,,
OR_PDX,,,,364.2578771,,,,,
OR_W,,,,542.9355102,,,,,
OR_WA_BPA,,,,383.7748528,,,,,
UT_N,,,,726.707809,,,,,
UT_S,,,,337.2980311,,,,,
WA_ID_AVA,,,,297.5559419,,,,,
WA_N_CEN,,,,203.9651632,,,,,
WA_SEATAC,,,,496.6210719,,,,,
WA_W,,,,485.9600052,,,,,
WY_NE,,,,129.2344834,,,,,
WY_NW,,,,44.30752491,,,,,
WY_SE,,,,437.6183349,,,,,
WY_SW,,,,210.1462806,,,,,
